,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2017-11-14,52.082,51.886,52.115,51.467,21011320.0,717899.934
2017-11-15,51.821,51.75,51.982,51.538,18105240.0,714318.3391
2017-11-16,52.424,51.938,52.588,51.9,23767840.0,722522.342
2017-11-17,51.795,52.49,52.55,51.687,26712200.0,713472.1406
2017-11-20,51.733,51.8,51.935,51.634,17526420.0,712811.4945
2017-11-21,52.515,52.002,52.52,51.957,22206820.0,723853.5101
2017-11-22,52.596,52.558,52.772,52.363,14537960.0,724923.1393
2017-11-24,52.826,52.72,53.003,52.596,16507380.0,728137.8791
2017-11-27,53.601,52.929,53.652,52.739,35429820.0,738195.3917
2017-11-28,53.165,53.7,54.0,52.727,36423420.0,732852.8794
2017-11-29,51.869,52.809,52.939,51.483,55866640.0,714910.2369
2017-11-30,51.809,51.997,52.207,51.503,45091800.0,714427.6074
2017-12-01,51.253,51.521,51.862,50.845,37761620.0,706663.0838
2017-12-04,50.594,51.39,51.567,50.461,38777220.0,698129.5278
2017-12-05,50.98,50.55,51.834,50.116,38997300.0,703030.3667
2017-12-06,51.636,50.826,51.979,50.765,28710980.0,712187.2005
2017-12-07,52.229,51.804,52.446,51.768,30865700.0,720681.7063
2017-12-08,52.469,52.591,52.821,52.293,31169440.0,724512.3359
2017-12-11,52.599,52.555,52.8,52.206,23253880.0,726856.4549
2017-12-12,52.439,52.5,53.125,52.244,33881220.0,725595.431
2017-12-13,52.57,52.604,52.774,52.329,27680760.0,726487.0398
2017-12-14,52.874,52.775,53.354,52.68,30962780.0,731629.0193
2017-12-15,53.6,53.189,53.763,53.004,63759700.0,741914.7245
2017-12-18,54.254,53.823,54.325,53.518,30292020.0,750957.464
2017-12-19,53.989,54.151,54.249,53.614,26350380.0,746839.1136
2017-12-20,53.678,54.046,54.062,53.43,28727820.0,742700.215
2017-12-21,53.543,53.77,53.876,53.45,25640500.0,741335.7727
2017-12-22,53.443,53.5,53.586,53.382,17788920.0,739386.1549
2017-12-26,53.293,53.432,53.443,52.932,18375340.0,737156.7901
2017-12-27,53.01,53.33,53.414,52.919,22324060.0,732589.5963
2017-12-28,52.798,53.113,53.242,52.669,19884980.0,730763.1506
2017-12-29,52.67,52.775,52.902,52.635,23606800.0,729293.5361
2018-01-02,53.661,52.651,53.799,52.651,31765360.0,742606.2347
2018-01-03,54.576,53.697,54.805,53.672,31318900.0,755018.4704
2018-01-04,54.788,54.854,55.204,54.713,26051380.0,757845.071
2018-01-05,55.515,55.173,55.679,55.09,30250520.0,768425.4471
2018-01-08,55.711,55.55,55.958,55.5,24644420.0,771443.7422
2018-01-09,55.64,55.922,55.922,55.41,26807620.0,770733.144
2018-01-10,55.507,55.35,55.639,55.199,20733100.0,768518.9173
2018-01-11,55.603,55.616,55.742,55.324,22424320.0,770218.9905
2018-01-12,56.533,55.505,56.565,55.401,38586120.0,782448.5277
2018-01-16,56.535,57.015,57.444,56.333,36462000.0,782278.1172
2018-01-17,56.955,56.818,56.966,56.175,27830200.0,788793.3169
2018-01-18,56.799,56.967,57.029,56.223,27497460.0,786969.2073
2018-01-19,57.175,56.902,57.189,56.625,30551080.0,792271.9374
2018-01-22,58.208,57.191,58.344,57.091,29550400.0,805746.2665
2018-01-23,58.809,58.531,58.926,58.363,39137300.0,814892.7922
2018-01-24,58.564,59.249,59.353,58.37,37128580.0,811185.107
2018-01-25,59.107,59.036,59.25,58.592,29984940.0,816963.1447
2018-01-26,59.378,59.377,59.378,58.402,42170040.0,820747.6222
2018-01-29,59.324,59.4,59.9,59.203,31494160.0,820303.0968
2018-01-30,58.869,58.886,59.397,58.726,37337660.0,812936.5066
2018-01-31,59.111,59.191,59.316,58.605,36022700.0,816828.4984
2018-02-01,59.079,58.8,59.373,58.468,73514180.0,815790.2413
2018-02-02,55.96,56.371,56.565,55.559,117842440.0,774899.6147
2018-02-05,53.12,55.031,55.75,52.837,83549380.0,735692.7376
2018-02-06,54.222,51.699,54.369,51.501,76630480.0,752571.6682
2018-02-07,52.771,54.249,54.326,52.731,51941880.0,731274.1608
2018-02-08,50.386,52.994,53.197,50.235,66792020.0,698347.3962
2018-02-09,52.314,51.294,52.586,49.85,98359400.0,724299.4229
2018-02-12,52.728,52.834,53.278,52.275,56240220.0,732254.8534
2018-02-13,52.707,52.5,53.061,52.346,31585160.0,732179.3566
2018-02-14,53.635,52.716,53.774,52.49,41304040.0,744725.6873
2018-02-15,54.568,54.173,54.705,53.362,37395260.0,758132.9955
2018-02-16,54.775,54.669,55.415,54.578,39948100.0,761437.1171
2018-02-20,55.18,54.638,55.814,54.5,33753120.0,766901.5446
2018-02-21,55.688,55.455,56.81,55.376,41486420.0,773487.9123
2018-02-22,55.495,55.959,56.273,55.258,28010720.0,770489.9579
2018-02-23,56.405,55.933,56.45,55.422,25292760.0,783872.8689
2018-02-26,57.185,56.593,57.21,56.467,30912380.0,795230.4513
2018-02-27,55.876,57.185,57.213,55.84,42963180.0,777293.1358
2018-02-28,55.196,56.1,56.383,55.15,49292380.0,767855.2421
2018-03-01,53.571,55.477,55.564,53.364,55337120.0,744243.1436
2018-03-02,54.207,52.899,54.345,52.506,50162900.0,751851.111
2018-03-05,54.738,53.907,55.059,53.614,28647380.0,759754.0916
2018-03-06,55.045,55.105,55.282,54.725,23381360.0,763272.8365
2018-03-07,55.752,54.641,55.81,54.496,30748580.0,773268.6063
2018-03-08,56.469,55.86,56.572,55.86,33862660.0,783993.2881
2018-03-09,58.042,56.975,58.05,56.715,42661740.0,806830.5252
2018-03-12,58.297,58.253,58.908,57.96,44306080.0,810134.3953
2018-03-13,56.996,58.592,58.9,56.729,43139980.0,791927.023
2018-03-14,57.445,57.29,57.988,57.117,41869640.0,799044.3739
2018-03-15,57.531,57.479,58.125,56.783,33381880.0,799631.7669
2018-03-16,56.721,57.768,57.841,56.568,58655180.0,789248.4789
2018-03-19,55.003,55.888,55.968,54.446,63655920.0,764782.6227
2018-03-20,54.79,54.92,55.277,54.121,54597140.0,762620.0829
2018-03-21,54.7,54.628,55.435,54.361,44897300.0,759490.7258
2018-03-22,52.658,54.001,54.196,52.482,69312160.0,730733.1636
2018-03-23,51.328,52.568,53.339,51.244,49879420.0,711898.5241
2018-03-26,52.704,52.53,52.963,50.529,65983020.0,732577.648
2018-03-27,50.347,53.195,53.227,49.881,60816180.0,699435.978
2018-03-28,50.259,50.096,51.25,49.2,77698860.0,698667.7101
2018-03-29,51.857,50.561,52.402,50.202,69337520.0,719123.5949
2018-04-02,50.632,51.381,51.977,49.713,65067740.0,701779.4597
2018-04-03,50.934,50.808,51.25,49.862,51322920.0,706318.2685
2018-04-04,51.486,49.912,51.637,49.826,50723960.0,714248.7273
2018-04-05,51.632,52.32,52.336,51.2,35835220.0,716188.8847
2018-04-06,50.498,51.155,51.8,50.313,40133660.0,701129.3665
2018-04-09,51.005,51.002,52.229,50.96,33220240.0,707533.8323
2018-04-10,51.825,51.513,52.061,50.771,36733560.0,718861.5335
2018-04-11,51.253,51.6,51.793,50.96,34060300.0,710821.4651
2018-04-12,51.865,51.574,52.233,51.302,32895880.0,719440.6844
2018-04-13,51.802,52.345,52.649,51.508,25409220.0,717828.6471
2018-04-16,52.305,52.277,52.571,51.696,29776440.0,724319.3523
2018-04-17,53.968,53.06,54.25,52.854,54583940.0,748535.0553
2018-04-18,53.77,53.951,54.1,53.526,31125960.0,746480.3072
2018-04-19,54.473,53.451,54.876,53.451,39884940.0,756838.5764
2018-04-20,53.866,54.213,54.738,53.605,42433840.0,747430.2408
2018-04-23,53.691,54.149,54.4,53.334,69589920.0,744243.0978
2018-04-24,51.132,52.96,53.225,50.643,128220760.0,709282.7034
2018-04-25,51.15,51.488,51.804,50.851,57860940.0,709842.3545
2018-04-26,52.165,51.661,52.601,51.023,50926640.0,723411.8487
2018-04-27,51.573,52.277,52.585,51.379,40745260.0,715870.9302
2018-04-30,50.929,51.721,51.918,50.915,34492640.0,706987.951
2018-05-01,52.038,50.815,52.087,50.531,35325120.0,721570.4921
2018-05-02,51.302,51.7,52.199,51.158,34697440.0,712019.8129
2018-05-03,51.315,51.268,51.535,50.395,39281320.0,711854.5457
2018-05-04,52.55,50.981,52.594,50.902,36892000.0,728931.6914
2018-05-07,52.973,52.695,53.25,52.514,34399420.0,734107.4199
2018-05-08,52.93,53.231,53.262,52.582,26030480.0,733499.4382
2018-05-09,54.448,53.205,54.7,53.105,47159580.0,754023.5808
2018-05-10,55.274,54.75,55.471,54.694,36413520.0,764860.6841
2018-05-11,55.169,55.021,55.451,54.861,30504360.0,764444.4115
2018-05-14,55.33,55.278,55.908,55.24,39337860.0,766204.1578
2018-05-15,54.244,54.845,54.956,53.939,35738520.0,751394.6542
2018-05-16,54.204,54.254,54.719,54.082,25628120.0,752089.3485
2018-05-17,54.063,54.073,54.55,53.821,25738140.0,749993.4277
2018-05-18,53.482,53.3,53.687,53.234,35482980.0,741695.5934
2018-05-21,54.201,53.95,54.665,53.9,25179980.0,751247.9734
2018-05-22,53.765,54.49,54.59,53.613,22225980.0,744777.1134
2018-05-23,54.298,53.5,54.4,53.348,23739960.0,751917.0863
2018-05-24,54.273,54.345,54.356,53.615,20603880.0,751585.2117
2018-05-25,54.204,54.328,54.479,54.13,22223220.0,749810.6264
2018-05-29,53.403,53.8,54.067,53.154,36076100.0,738940.4237
2018-05-30,53.874,53.674,53.95,53.328,28685640.0,744754.1311
2018-05-31,55.0,54.1,55.5,53.9,79367240.0,758413.5792
2018-06-01,56.75,55.643,56.908,55.601,63202000.0,782540.2989
2018-06-04,57.652,56.925,57.893,56.85,44754020.0,795721.6978
2018-06-05,57.551,57.733,58.055,57.373,32964440.0,795208.7988
2018-06-06,57.348,57.639,57.736,56.816,34934380.0,792862.4102
2018-06-07,56.721,57.229,57.293,56.306,36107760.0,783977.2272
2018-06-08,56.636,56.561,56.939,56.162,27284520.0,782312.8482
2018-06-11,57.045,56.647,57.387,56.57,24795400.0,788347.5554
2018-06-12,57.41,57.051,57.438,57.051,26092240.0,794170.5575
2018-06-13,57.212,57.614,57.782,57.169,34301480.0,791207.8637
2018-06-14,58.006,57.611,58.3,57.53,35422400.0,802777.3105
2018-06-15,57.963,57.996,58.195,57.685,44437820.0,802558.8635
2018-06-18,59.179,57.635,59.207,57.55,33038260.0,818285.1103
2018-06-19,58.935,58.506,59.14,58.08,47282540.0,814698.8314
2018-06-20,59.204,59.165,60.075,59.102,51685200.0,817094.7831
2018-06-21,58.472,59.276,59.517,58.174,44965540.0,807845.9696
2018-06-22,58.465,58.575,58.75,57.983,34220060.0,806985.7698
2018-06-25,56.964,57.75,57.8,55.995,57682620.0,785896.5627
2018-06-26,56.631,57.207,57.343,56.45,34688280.0,781386.3188
2018-06-27,55.847,56.8,57.311,55.835,34537320.0,770942.7011
2018-06-28,56.339,55.62,56.7,55.304,29733500.0,777926.0299
2018-06-29,56.46,56.616,57.068,56.351,31562320.0,779234.9185
2018-07-02,57.105,55.768,57.15,55.33,23220800.0,787795.0996
2018-07-03,55.814,57.471,57.496,55.722,16447880.0,770324.1573
2018-07-05,57.064,56.23,57.207,56.156,28594200.0,786342.9286
2018-07-06,57.754,57.088,57.81,56.862,21819340.0,796706.5673
2018-07-09,58.364,58.0,58.397,57.862,21584020.0,805805.7318
2018-07-10,58.357,58.5,58.675,58.128,21334080.0,805310.003
2018-07-11,58.573,57.781,59.022,57.769,33252660.0,807096.3566
2018-07-12,60.063,58.743,60.099,58.655,44148620.0,827711.9769
2018-07-13,60.221,60.14,60.522,59.765,32637140.0,830718.6318
2018-07-16,59.826,60.191,60.436,59.67,26784740.0,826323.3971
2018-07-17,60.654,59.137,60.938,59.1,40162660.0,837225.0216
2018-07-18,60.646,60.427,61.079,60.228,38947940.0,836082.7867
2018-07-19,59.955,60.333,60.824,59.887,38337840.0,828312.2138
2018-07-20,59.894,59.962,60.538,59.829,37967520.0,827155.7538
2018-07-23,60.55,59.783,60.755,59.601,65446080.0,840735.7757
2018-07-24,62.908,63.55,63.75,62.207,107600640.0,871507.6221
2018-07-25,63.797,62.631,63.912,62.453,51508740.0,883073.6176
2018-07-26,64.275,63.359,64.37,63.15,54686040.0,887883.8121
2018-07-27,62.645,64.456,64.572,62.225,48361800.0,866235.5993
2018-07-30,61.502,62.253,62.645,61.209,43896740.0,851866.2555
2018-07-31,61.361,61.586,62.061,60.81,39382220.0,850031.3742
2018-08-01,61.65,61.955,62.295,61.247,36994800.0,852917.9978
2018-08-02,62.057,60.925,62.221,60.903,34703600.0,857834.1678
2018-08-03,61.908,62.259,62.326,61.471,21264880.0,855965.8663
2018-08-06,61.884,62.08,62.123,61.527,22118320.0,856203.6357
2018-08-07,62.792,62.601,63.304,62.59,42505120.0,868575.3079
2018-08-08,63.067,62.836,63.586,62.606,34373280.0,871610.5994
2018-08-09,63.223,63.137,63.598,63.005,27326360.0,873922.4673
2018-08-10,62.626,62.959,63.06,62.358,26687740.0,865780.8468
2018-08-13,62.432,62.56,63.299,62.352,27617640.0,863562.6947
2018-08-14,62.907,62.625,63.03,61.977,28079820.0,869271.9238
2018-08-15,61.611,62.214,62.599,61.312,37051160.0,850567.9736
2018-08-16,61.203,62.1,62.185,60.982,32175980.0,844992.0403
2018-08-17,60.793,61.102,61.348,60.2,33092580.0,840281.0329
2018-08-20,61.098,61.033,61.296,60.435,22223460.0,844789.727
2018-08-21,60.871,61.151,61.638,60.752,23081860.0,841030.299
2018-08-22,61.088,60.711,61.326,60.661,22296640.0,844560.9938
2018-08-23,61.058,60.994,61.759,60.967,24666940.0,843642.8239
2018-08-24,61.838,61.3,61.87,61.071,24453060.0,854368.9768
2018-08-27,62.814,62.207,62.893,62.034,28579840.0,868564.5908
2018-08-28,62.293,62.795,62.828,62.149,27330320.0,861225.5211
2018-08-29,63.233,62.75,63.359,62.64,36932300.0,874058.3793
2018-08-30,62.722,63.17,63.475,62.361,30104380.0,866966.709
2018-08-31,61.59,62.611,62.627,61.288,42308480.0,851854.9475
2018-09-04,60.566,61.126,61.393,60.328,41457380.0,837339.1834
2018-09-05,59.955,60.461,60.744,58.767,53987880.0,829475.8746
2018-09-06,59.2,59.929,59.949,58.18,46854440.0,818990.3161
2018-09-07,58.879,58.6,59.427,58.463,32663800.0,814459.5804
2018-09-10,58.753,59.21,59.333,58.531,27678760.0,813573.0927
2018-09-11,59.5,58.555,59.547,58.298,29253760.0,823134.5168
2018-09-12,58.58,59.1,59.535,58.308,35716660.0,811778.2982
2018-09-13,59.107,58.985,59.393,58.461,40068360.0,819846.1893
2018-09-14,58.899,59.4,59.4,58.676,24175340.0,817459.8898
2018-09-17,57.991,58.889,59.091,57.923,34095800.0,805456.7885
2018-09-18,58.355,58.133,59.067,58.071,32314020.0,809733.61
2018-09-19,58.713,58.448,58.814,57.931,25961680.0,815726.3697
2018-09-20,59.579,59.034,59.7,58.813,29249100.0,827194.1434
2018-09-21,58.606,59.746,59.829,58.603,91222380.0,813166.6904
2018-09-24,58.978,57.971,59.26,57.575,31149580.0,818282.8012
2018-09-25,59.695,59.213,59.843,58.704,33156180.0,827113.2269
2018-09-26,59.703,59.685,60.362,59.27,37650480.0,825615.0012
2018-09-27,60.368,60.0,60.843,59.902,36273040.0,835184.8406
2018-09-28,60.354,60.204,60.423,59.891,35615180.0,834657.7929
2018-10-01,60.427,60.65,61.21,60.16,33187280.0,835812.1219
2018-10-02,60.382,60.334,61.226,59.983,40179120.0,837317.1796
2018-10-03,60.576,60.6,60.709,60.108,26253720.0,839631.3764
2018-10-04,58.854,60.252,60.295,58.192,46575560.0,815546.3233
2018-10-05,58.391,58.8,59.1,57.716,31860240.0,808520.943
2018-10-08,57.796,58.0,58.793,56.77,46190780.0,801553.2528
2018-10-09,57.259,57.566,58.078,57.209,33694560.0,794298.7109
2018-10-10,54.608,56.82,56.851,54.576,58980120.0,755707.2771
2018-10-11,54.537,53.952,55.803,53.795,67695500.0,754540.2193
2018-10-12,56.027,55.982,56.292,54.751,49378400.0,775629.8076
2018-10-15,55.122,55.9,56.09,54.911,30079120.0,763138.8372
2018-10-16,56.654,55.674,56.818,55.588,38377580.0,783853.3533
2018-10-17,56.379,57.0,57.35,55.7,35652280.0,779996.75
