,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2022-01-12,46.54,46.95,47.51,46.275,8995734.0,15060.845
2022-01-13,48.17,47.21,49.265,46.78,14671228.0,15588.3306
2022-01-14,46.74,47.24,47.54,46.09,11204767.0,15125.5672
2022-01-18,45.61,45.915,46.9799,45.4473,11128114.0,14759.887
2022-01-19,44.4,45.52,45.695,44.345,10365279.0,14368.318
2022-01-20,42.88,44.345,44.84,42.805,15589624.0,13876.4296
2022-01-21,41.65,42.67,43.02,41.27,16065163.0,13478.3884
2022-01-24,41.39,40.15,41.49,38.84,20968679.0,13394.2496
2022-01-25,41.78,40.8,42.11,40.56,11304636.0,13520.4578
2022-01-26,41.43,42.4606,43.06,41.02,13585746.0,13407.194
2022-01-27,40.93,41.85,42.78,40.71,12936444.0,13245.3886
2022-01-28,40.91,40.65,40.93,38.79,14042664.0,13238.9164
2022-01-31,42.88,40.52,42.91,40.2,11871003.0,13876.4296
2022-02-01,43.96,43.01,44.225,42.72,9614301.0,14225.9292
2022-02-02,44.12,43.95,45.35,43.2,12135270.0,14277.707
2022-02-03,43.08,43.5855,44.48,43.04,8016485.0,13941.1518
2022-02-04,42.82,42.74,43.1278,41.98,8956941.0,13857.013
2022-02-07,44.44,43.37,44.99,43.21,10462880.0,14381.2624
2022-02-08,46.83,44.99,46.91,44.57,12211668.0,15154.6921
2022-02-09,48.93,47.27,49.29,47.195,15867938.0,15834.2747
2022-02-10,49.24,48.23,50.16,47.98,16295801.0,15934.5941
2022-02-11,46.97,49.2975,50.25,46.59,15711571.0,15199.9976
2022-02-14,46.93,47.48,48.73,46.6,10641740.0,15187.0532
2022-02-15,50.48,48.6,50.51,48.47,17789060.0,16335.8714
2022-02-16,50.21,50.07,50.935,49.62,10118922.0,16248.4965
2022-02-17,48.36,49.28,49.7232,47.94,9932345.0,15649.8166
2022-02-18,47.43,48.215,48.91,47.23,10238296.0,15348.8586
2022-02-22,46.32,46.6,47.54,45.94,11015100.0,14989.6506
2022-02-23,43.85,46.845,47.0459,43.78,12835912.0,14190.332
2022-02-24,44.06,40.75,44.2211,40.43,19073472.0,14258.2903
2022-02-25,45.85,45.01,46.49,44.57,15838156.0,14837.5536
2022-02-28,44.4,44.11,44.795,43.24,14839858.0,14368.318
2022-03-01,41.85,43.638,43.88,41.01,18149042.0,13543.1105
2022-03-02,42.42,42.65,43.35,42.33,12915781.0,13727.5687
2022-03-03,40.37,42.92,43.29,40.105,15663882.0,13064.1666
2022-03-04,36.71,39.26,39.48,36.16,36684001.0,11879.7512
2022-03-07,31.2,36.14,36.5,30.865,45172415.0,10096.6559
2022-03-08,32.235,31.8,34.24,30.54,34172808.0,10431.593
2022-03-09,34.9,34.435,36.46,34.28,34309039.0,11294.0157
2022-03-10,35.2,33.695,35.76,33.05,18456402.0,11391.0989
2022-03-11,34.87,35.94,36.14,34.67,15575920.0,11284.3074
2022-03-14,35.02,34.87,36.43,34.25,16023155.0,11332.849
2022-03-15,38.24,37.26,38.78,37.0,23183168.0,12374.8757
2022-03-16,41.19,39.07,41.23,38.97,22511180.0,13329.5274
2022-03-17,41.42,39.87,41.42,39.45,17002053.0,13403.9579
2022-03-18,42.35,40.97,42.39,40.601,15842626.0,13704.9159
2022-03-21,40.85,41.615,41.71,40.46,14758149.0,13219.4998
2022-03-22,42.2,41.25,42.72,41.17,13179155.0,13656.3743
2022-03-23,41.53,41.76,42.11,41.34,9409864.0,13439.5551
2022-03-24,42.78,41.76,42.86,41.03,11308448.0,13844.0685
2022-03-25,43.18,42.68,43.95,42.62,12835076.0,13973.5128
2022-03-28,43.86,43.65,43.91,42.585,12507848.0,14193.5682
2022-03-29,45.67,45.37,46.28,44.84,15886545.0,14779.3036
2022-03-30,45.86,45.185,46.12,44.94,9884309.0,14840.7897
