,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2017-08-31,153.55,153.07,154.71,152.13,23507738.0,18480.9281
2017-09-01,150.9,154.42,154.5,150.82,2486954.0,18161.9801
2017-09-05,151.16,151.97,152.3,150.27,1809800.0,18193.2731
2017-09-06,150.5,151.84,151.97,150.37,1351018.0,18113.837
2017-09-07,150.65,150.41,151.22,149.86,1168966.0,18131.8907
2017-09-08,149.45,150.04,150.4,149.1,857506.0,17987.4614
2017-09-11,150.13,149.85,150.8,149.28,1253768.0,18069.3047
2017-09-12,149.74,149.64,150.16,148.33,1373282.0,18022.3651
2017-09-13,149.15,149.24,149.89,148.02,1279297.0,17951.3541
2017-09-14,148.77,148.02,149.735,147.68,1288352.0,17905.6182
2017-09-15,149.99,148.93,150.53,148.3,1898902.0,18052.4546
2017-09-18,150.53,150.33,151.82,149.97,974575.0,18117.4477
2017-09-19,145.42,150.59,150.99,144.631,2382507.0,17502.4198
2017-09-20,146.08,146.2,147.39,145.38,2256195.0,17581.8559
2017-09-21,145.01,145.27,146.3,144.69,948951.0,17453.0731
2017-09-22,142.62,144.75,144.97,142.54,1529418.0,17165.4182
2017-09-25,141.46,142.11,143.255,140.62,1740075.0,17025.8032
2017-09-26,142.41,141.55,142.98,141.09,1467371.0,17140.143
2017-09-27,142.98,143.88,144.57,142.17,989055.0,17208.7469
2017-09-28,143.76,142.16,144.0,142.09,1008043.0,17302.626
2017-09-29,144.05,143.59,145.0,143.16,992621.0,17337.5297
2017-10-02,142.87,143.82,144.845,142.7,1052678.0,17195.5076
2017-10-03,143.77,142.31,144.54,142.31,894709.0,17303.8295
2017-10-04,147.21,144.0,147.795,143.61,1022049.0,17717.8601
2017-10-05,146.87,147.51,148.33,146.75,1245416.0,17676.9385
2017-10-06,147.32,146.4,147.58,145.16,575502.0,17731.0995
2017-10-09,147.73,147.36,148.59,146.87,635460.0,17780.4461
2017-10-10,148.42,148.48,149.48,148.07,760597.0,17863.493
2017-10-11,151.35,148.92,151.57,148.46,1047898.0,18216.1411
2017-10-12,152.22,151.41,152.455,151.2,1147346.0,18320.8523
2017-10-13,150.94,152.5,152.55,150.02,838743.0,18166.7944
2017-10-16,149.11,150.29,150.785,148.325,1040851.0,17946.5398
2017-10-17,148.46,149.22,150.4,147.85,1051449.0,17868.3073
2017-10-18,147.4,148.17,148.62,146.71,1360162.0,17740.7281
2017-10-19,148.0,147.24,148.43,146.72,1625248.0,17812.9427
2017-10-20,147.89,148.37,149.05,147.5,834481.0,17799.7034
2017-10-23,147.99,148.41,148.62,147.14,594955.0,17811.7391
2017-10-24,148.23,147.46,148.65,147.46,737532.0,17840.625
2017-10-25,146.48,148.16,148.93,146.18,772403.0,17629.999
2017-10-26,146.55,147.24,147.24,145.81,1522139.0,17638.424
2017-10-27,146.72,146.26,147.59,145.99,1079507.0,17658.8848
2017-10-30,150.17,146.98,153.65,146.39,2414784.0,18074.119
