,LYV US Equity,LYV US Equity,LYV US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2022-06-02,97.2,22167.8084,1380325.0
2022-06-03,95.3,21734.487,1295870.0
2022-06-06,95.16,21702.5581,1802235.0
2022-06-07,96.11,21919.2187,1579425.0
2022-06-08,94.9,21643.2615,1250728.0
2022-06-09,93.92,21419.7589,1344767.0
2022-06-10,92.31,21052.576,2592846.0
2022-06-13,84.92,19367.184,2218401.0
2022-06-14,84.94,19371.7453,1541070.0
2022-06-15,86.68,19768.5764,1589051.0
2022-06-16,81.77,18648.7828,1874423.0
2022-06-17,84.7,19317.01,4097160.0
2022-06-21,83.98,19152.804,1736248.0
2022-06-22,83.21,18977.1948,1278503.0
2022-06-23,81.94,18687.5537,2138695.0
2022-06-24,86.8,19795.9441,2363863.0
2022-06-27,85.59,19519.9868,1714970.0
2022-06-28,84.38,19244.0295,1051178.0
2022-06-29,84.0,19157.3652,1074892.0
2022-06-30,82.58,18833.5145,1966459.0
2022-07-01,83.06,18942.9852,1042030.0
2022-07-05,85.44,19485.7772,961916.0
2022-07-06,84.63,19301.0455,1274919.0
2022-07-07,85.97,19606.6511,1741833.0
2022-07-08,84.36,19239.4682,1361114.0
2022-07-11,82.19,18744.5696,1202401.0
2022-07-12,82.08,18719.4826,1247824.0
2022-07-13,83.26,18988.598,876320.0
2022-07-14,81.95,18689.8343,1102663.0
2022-07-15,84.48,19266.8359,846708.0
2022-07-18,86.08,19631.7381,1161053.0
2022-07-19,91.18,20794.8638,1800911.0
2022-07-20,92.75,21152.9241,1449248.0
2022-07-21,91.56,20881.5281,1078369.0
2022-07-22,91.58,20886.0894,1138456.0
2022-07-25,92.24,21036.6116,1184960.0
2022-07-26,89.78,20475.5744,1556049.0
2022-07-27,93.34,21287.4818,1359910.0
2022-07-28,93.08,21228.1852,1113077.0
2022-07-29,93.99,21435.7233,1050189.0
2022-08-01,95.28,21729.9257,1341785.0
2022-08-02,96.03,21900.9736,1219122.0
2022-08-03,98.07,22366.2239,1102481.0
2022-08-04,97.5,22422.2527,2042333.0
2022-08-05,96.76,22252.0736,2114215.0
2022-08-08,97.06,22321.0651,1725019.0
2022-08-09,95.14,21879.5192,961613.0
2022-08-10,97.87,22507.3423,1925405.0
2022-08-11,96.43,22176.1829,1122836.0
2022-08-12,97.89,22511.9418,811150.0
2022-08-15,98.51,22654.5243,1317503.0
2022-08-16,99.04,22776.4093,1189552.0
2022-08-17,97.48,22417.6533,960185.0
2022-08-18,96.47,22185.3818,1151037.0
2022-08-19,94.28,21681.7435,1120410.0
2022-08-22,91.38,21014.8252,1124520.0
2022-08-23,92.81,21343.6849,749464.0
2022-08-24,93.69,21546.0601,614579.0
2022-08-25,95.35,21927.8133,615797.0
2022-08-26,91.8,21111.4134,1512801.0
2022-08-29,91.91,21136.7103,775014.0
2022-08-30,91.3,20996.4274,857224.0
2022-08-31,90.36,20780.2539,1163776.0
2022-09-01,90.2,20743.4584,1012364.0
2022-09-02,89.64,20614.6742,792829.0
2022-09-06,88.93,20451.3942,1124665.0
2022-09-07,91.19,20971.1305,1489815.0
2022-09-08,90.73,20865.3435,1339286.0
2022-09-09,93.12,21414.9762,1341275.0
2022-09-12,95.26,21907.1159,1507181.0
2022-09-13,90.43,20796.352,1224670.0
2022-09-14,92.25,21214.9007,1812824.0
2022-09-15,92.09,21178.1052,1807634.0
2022-09-16,87.43,20106.4365,3974140.0
2022-09-19,86.98,20002.9492,1770205.0
2022-09-20,86.86,19975.3525,1076325.0
2022-09-21,81.55,18754.2022,2252406.0
2022-09-22,77.48,17818.2168,3918859.0
2022-09-23,75.27,17309.9791,3640113.0
2022-09-26,73.78,16967.3211,1607447.0
2022-09-27,75.03,17254.7859,1830298.0
2022-09-28,77.77,17884.9087,2257303.0
2022-09-29,75.26,17307.6794,1688322.0
2022-09-30,76.04,17487.0574,1929213.0
2022-10-03,78.36,18020.5921,2079172.0
2022-10-04,80.46,18503.5329,3044680.0
2022-10-05,80.67,18551.827,1194178.0
2022-10-06,79.86,18365.5498,1042770.0
2022-10-07,78.61,18078.085,1072821.0
2022-10-10,78.06,17951.6005,853360.0
2022-10-11,77.75,17880.3092,1340844.0
2022-10-12,77.33,17783.7211,992352.0
2022-10-13,77.94,17924.0039,1138404.0
2022-10-14,75.78,17427.2647,1038199.0
2022-10-17,78.03,17944.7013,1636341.0
2022-10-18,79.6,18305.7571,971919.0
2022-10-19,79.62,18310.3565,909572.0
2022-10-20,78.86,18135.578,838462.0
2022-10-21,79.53,18289.6591,1309236.0
2022-10-24,78.66,18089.5836,1253158.0
2022-10-25,81.71,18790.9977,1639734.0
2022-10-26,78.47,18045.889,2688355.0
2022-10-27,78.13,17967.6985,1396708.0
2022-10-28,80.06,18411.5441,1015233.0
2022-10-31,79.61,18308.0568,1317392.0
2022-11-01,79.43,18266.6619,1220930.0
2022-11-02,76.78,17657.2366,1511963.0
2022-11-03,76.42,17643.8404,2482407.0
2022-11-04,70.72,16327.825,10998687.0
2022-11-07,73.26,16914.2599,3643427.0
2022-11-08,72.9,16831.1432,1796814.0
2022-11-09,72.64,16771.1144,2348354.0
2022-11-10,76.36,17629.9876,1974893.0
2022-11-11,76.7,17708.4867,1261375.0
2022-11-14,73.6,16992.7591,1958058.0
2022-11-15,74.28,17149.7574,2670371.0
2022-11-16,74.01,17087.4198,1533977.0
2022-11-17,71.85,16588.7193,3725964.0
2022-11-18,66.21,15286.5568,15283480.0
2022-11-21,66.94,15455.0991,5230731.0
2022-11-22,67.49,15582.083,2559504.0
2022-11-23,68.58,15833.7421,1749941.0
2022-11-25,68.46,15806.0365,660766.0
2022-11-28,68.69,15859.1389,2725979.0
2022-11-29,70.21,16210.0763,2977227.0
2022-11-30,72.76,16798.82,2976109.0
2022-12-01,73.55,16981.2151,1990894.0
2022-12-02,73.92,17066.6407,1548039.0
2022-12-05,73.88,17057.4055,7506375.0
2022-12-06,70.91,16371.6922,2941824.0
2022-12-07,71.14,16424.7946,2190056.0
2022-12-08,71.47,16500.985,1670898.0
2022-12-09,71.77,16570.2489,1151594.0
2022-12-12,73.6,16992.7591,1474816.0
2022-12-13,74.17,17124.3606,2607696.0
2022-12-14,73.09,16875.0104,1779487.0
2022-12-15,70.23,16214.6939,2164549.0
2022-12-16,69.37,16016.1372,2701868.0
2022-12-19,68.39,15789.8749,1886688.0
2022-12-20,68.68,15856.8301,1579394.0
2022-12-21,70.68,16318.5898,1589991.0
2022-12-22,70.57,16293.1931,1633547.0
2022-12-23,70.69,16320.8986,918258.0
2022-12-27,69.59,16066.9308,1078016.0
2022-12-28,68.16,15736.7726,847700.0
2022-12-29,70.15,16196.2235,1185476.0
2022-12-30,69.74,16101.5628,1142840.0
2023-01-03,68.86,15898.3885,1296199.0
2023-01-04,71.01,16394.7802,1717690.0
2023-01-05,71.66,16544.8521,1727431.0
2023-01-06,72.38,16711.0856,1374723.0
2023-01-09,72.26,16683.3801,4235451.0
2023-01-10,72.56,16752.644,7929488.0
2023-01-11,73.34,16932.7303,2002273.0
2023-01-12,73.15,16888.8631,2015025.0
2023-01-13,74.66,17237.4918,1556040.0
2023-01-17,76.12,17574.5764,2114972.0
2023-01-18,73.52,16974.2887,1713163.0
2023-01-19,73.22,16905.0247,1795634.0
2023-01-20,75.11,17341.3877,2577728.0
2023-01-23,75.94,17533.018,1942135.0
2023-01-24,77.0,17777.7507,1863004.0
2023-01-25,77.53,17900.117,1263082.0
2023-01-26,79.44,18341.0976,1774778.0
2023-01-27,80.36,18553.5071,1647218.0
2023-01-30,79.44,18341.0976,1616127.0
2023-01-31,80.49,18583.5215,1542126.0
2023-02-01,81.32,18775.1518,1944829.0
2023-02-02,81.52,18821.3277,1918483.0
2023-02-03,79.8,18424.2143,1314068.0
2023-02-06,79.78,18419.5967,1372440.0
2023-02-07,80.68,18627.3886,1057015.0
2023-02-08,81.39,18791.3134,2351168.0
2023-02-09,80.16,18507.3311,2039761.0
2023-02-10,76.41,17641.5316,3704457.0
2023-02-13,77.0,17777.7507,2337883.0
2023-02-14,78.08,18027.101,1256626.0
2023-02-15,78.97,18232.584,1067291.0
2023-02-16,78.21,18057.1153,1264031.0
2023-02-17,76.39,17636.914,2458473.0
2023-02-21,75.05,17327.5349,1444396.0
2023-02-22,75.44,17417.5781,1636683.0
2023-02-23,76.49,17714.415,2658959.0
2023-02-24,68.78,15928.8465,7341245.0
2023-02-27,71.83,16635.1998,3325293.0
2023-02-28,72.06,16688.4658,2108984.0
2023-03-01,72.01,16676.8862,1744944.0
2023-03-02,72.46,16781.1023,1659895.0
2023-03-03,72.97,16899.2138,1510534.0
2023-03-06,72.6,16813.525,1729666.0
2023-03-07,70.25,16269.2856,1876938.0
2023-03-08,70.25,16269.2856,1331588.0
2023-03-09,68.15,15782.944,1827598.0
2023-03-10,66.65,15435.5571,1952503.0
2023-03-13,66.97,15509.6663,3013181.0
2023-03-14,67.63,15662.5165,1664329.0
2023-03-15,67.03,15523.5618,2923306.0
2023-03-16,67.66,15669.4642,1845363.0
2023-03-17,66.34,15363.7638,2340778.0
2023-03-20,68.03,15755.153,1882518.0
2023-03-21,69.23,16033.0625,1663197.0
2023-03-22,66.24,15340.6047,2241325.0
2023-03-23,65.34,15132.1725,1597140.0
2023-03-24,65.95,15273.4432,1911335.0
2023-03-27,67.09,15537.4572,1362135.0
2023-03-28,67.85,15713.4666,1937353.0
2023-03-29,68.61,15889.4759,1460289.0
2023-03-30,69.2,16026.1148,1591740.0
2023-03-31,70.0,16211.3878,1412356.0
2023-04-03,69.31,16051.5898,1287160.0
