,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2019-04-01,67.59,25593.6134,2491788.0
2019-04-02,67.21,25449.7227,1322859.0
2019-04-03,68.03,25760.2237,1179311.0
2019-04-04,68.64,25991.2061,1000280.0
2019-04-05,68.57,25964.6999,1125692.0
2019-04-08,69.15,26071.3037,970637.0
2019-04-09,68.43,25799.8455,1358835.0
2019-04-10,69.0,26014.7499,1477299.0
2019-04-11,69.52,26210.8031,1285015.0
2019-04-12,71.03,26780.1114,1626845.0
2019-04-15,70.12,26437.0183,1163471.0
2019-04-16,71.71,27036.4886,1103112.0
2019-04-17,69.63,26252.2759,2361442.0
2019-04-18,69.96,26376.6943,1799076.0
2019-04-22,69.9,26354.0727,2216956.0
2019-04-23,66.86,25207.9156,6216859.0
2019-04-24,66.13,24912.5409,2561061.0
2019-04-25,67.09,25274.1928,2477297.0
2019-04-26,67.14,25293.0288,1512280.0
2019-04-29,68.4,25767.6969,2136364.0
2019-04-30,67.66,25488.9236,1960978.0
2019-05-01,66.33,24751.9629,3507153.0
2019-05-02,66.51,24819.1325,2152775.0
2019-05-03,67.21,25080.3472,1699056.0
2019-05-06,66.58,24845.2539,1973065.0
2019-05-07,64.99,24251.9233,2757320.0
2019-05-08,64.49,24065.3413,1569089.0
2019-05-09,64.54,24083.9995,2518619.0
2019-05-10,64.81,24184.7538,1770567.0
2019-05-13,63.18,23576.4966,3635458.0
2019-05-14,62.78,23427.231,2741175.0
2019-05-15,61.81,23065.262,2184444.0
2019-05-16,61.62,22994.3609,2497465.0
2019-05-17,60.39,22535.3692,1803226.0
2019-05-20,59.85,22333.8607,2831507.0
2019-05-21,59.76,22300.276,2639354.0
2019-05-22,59.5,22203.2534,1779802.0
2019-05-23,58.64,21882.3324,2635889.0
2019-05-24,58.97,22005.4765,1662500.0
2019-05-28,58.19,21714.4086,2609192.0
2019-05-29,57.71,21535.2899,1800316.0
2019-05-30,56.28,21001.6655,2588445.0
2019-05-31,55.25,20617.3067,2064626.0
2019-06-03,56.0,20897.1796,3200583.0
2019-06-04,57.63,21505.4368,2213385.0
2019-06-05,55.68,20777.7672,3574907.0
2019-06-06,56.22,20979.2757,2497570.0
2019-06-07,56.62,21128.5413,3671730.0
2019-06-10,57.22,21352.4396,3535473.0
2019-06-11,55.11,20565.0637,7511095.0
2019-06-12,54.89,20482.9677,3819570.0
2019-06-13,55.03,20535.2106,2480603.0
2019-06-14,55.36,20658.3547,2531713.0
2019-06-17,54.53,20348.6287,1984875.0
2019-06-18,55.26,20621.0383,2738424.0
2019-06-19,54.76,20434.4564,5482149.0
2019-06-20,55.41,20677.0129,3946008.0
2019-06-21,55.52,20718.0609,6126443.0
2019-06-24,55.73,20796.4254,3418186.0
2019-06-25,56.0,20897.1796,3545043.0
2019-06-26,55.24,20613.5751,3465871.0
