,VRTX US Equity,VRTX US Equity,VRTX US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-09-17,175.8,44927.4373,878076.0
2018-09-18,177.12,45264.7764,964893.0
2018-09-19,176.6,45131.8852,732151.0
2018-09-20,180.52,46133.6802,784813.0
2018-09-21,180.08,46021.2338,1642003.0
2018-09-24,182.17,46555.3541,706285.0
2018-09-25,182.65,46678.0229,835788.0
2018-09-26,186.65,47700.2626,1712114.0
2018-09-27,189.74,48489.9428,1381142.0
2018-09-28,192.74,49256.6226,2148204.0
2018-10-01,191.57,48957.6175,1841863.0
2018-10-02,191.93,49049.6191,941159.0
2018-10-03,192.21,49121.1759,1000926.0
2018-10-04,188.62,48203.7157,935470.0
2018-10-05,188.05,48058.0465,859808.0
2018-10-08,185.34,47365.4791,852196.0
2018-10-09,185.66,47447.2583,1087261.0
2018-10-10,176.43,45088.44,1565380.0
2018-10-11,175.66,44891.6589,2395236.0
2018-10-12,181.32,46338.1281,1257515.0
2018-10-15,177.65,45400.2232,1064193.0
2018-10-16,185.45,47393.5907,1136652.0
2018-10-17,185.48,47401.2575,886873.0
2018-10-18,178.9,45719.6731,2643374.0
2018-10-19,175.69,44899.3257,1905500.0
2018-10-22,177.4,45336.3332,1513448.0
2018-10-23,174.17,44510.8746,1960486.0
2018-10-24,163.09,41687.598,2053359.0
2018-10-25,165.61,42322.9662,2800090.0
2018-10-26,169.48,43311.9758,2659510.0
2018-10-29,170.34,43531.7557,2700823.0
2018-10-30,171.49,43825.6474,1441870.0
2018-10-31,169.46,43306.8646,1607491.0
2018-11-01,175.19,44771.2122,1368952.0
2018-11-02,173.29,44285.6519,1338116.0
2018-11-05,174.59,44617.8773,801406.0
2018-11-06,175.23,44781.4345,920333.0
2018-11-07,183.88,46992.0115,1535978.0
2018-11-08,180.26,46066.8914,1101756.0
2018-11-09,180.55,46141.0032,1845491.0
2018-11-12,172.85,44173.2063,1754054.0
2018-11-13,170.31,43524.0889,955741.0
2018-11-14,164.58,42059.7414,1502568.0
2018-11-15,166.67,42593.8577,1648087.0
2018-11-16,165.11,42195.1872,1924132.0
2018-11-19,161.07,41162.7327,1362928.0
2018-11-20,159.76,40827.9517,1658171.0
2018-11-21,160.25,40953.1751,874187.0
2018-11-23,160.39,40988.9532,346829.0
2018-11-26,167.4,42780.4151,1604009.0
2018-11-27,175.45,44837.6572,2327610.0
2018-11-28,178.38,45586.4423,1445111.0
2018-11-29,179.45,45859.8894,976406.0
2018-11-30,180.79,46202.3371,1095998.0
2018-12-03,184.65,47188.7912,1692900.0
2018-12-04,177.93,45471.4412,1316188.0
2018-12-06,179.61,45900.7787,1906316.0
2018-12-07,172.21,44009.6492,1627291.0
