,JPM US Equity,JPM US Equity,JPM US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-12-06,105.19,349799.9542,27213946.0
2018-12-07,103.29,343481.6738,19248595.0
2018-12-10,101.36,337063.6311,23636429.0
2018-12-11,100.37,333771.4745,16860677.0
2018-12-12,101.02,335932.9914,22621487.0
2018-12-13,101.12,336265.5325,17250942.0
2018-12-14,100.29,333505.4416,19879525.0
2018-12-17,99.01,329248.9159,25113534.0
2018-12-18,98.54,327685.9728,20837150.0
2018-12-19,97.29,323529.2094,28767868.0
2018-12-20,96.45,320735.8644,31825218.0
2018-12-21,94.17,313153.928,41313933.0
2018-12-24,92.14,306403.3442,17009280.0
2018-12-26,95.96,319106.4132,22542900.0
2018-12-27,97.04,322697.8568,20304683.0
2018-12-28,96.83,321999.5205,17963271.0
2018-12-31,97.62,324626.595,13237180.0
2019-01-02,99.31,330246.5391,15670850.0
2019-01-03,97.11,322930.6355,16286426.0
2019-01-04,100.69,334835.6059,16935205.0
2019-01-07,100.76,335068.3847,15430712.0
2019-01-08,100.57,334436.5566,13578777.0
2019-01-09,100.4,333871.2368,14230331.0
2019-01-10,100.39,333837.9827,14376430.0
2019-01-11,99.91,332241.7855,15439850.0
2019-01-14,100.94,335666.9586,21258458.0
2019-01-15,101.68,338127.7625,26504852.0
2019-01-16,102.5,340854.5993,18532952.0
2019-01-17,102.92,342251.2718,14247564.0
2019-01-18,104.59,347804.7077,16428710.0
2019-01-22,102.94,342317.78,17083681.0
2019-01-23,102.68,341453.1732,12146678.0
2019-01-24,102.74,341652.6979,11296764.0
2019-01-25,103.39,343814.2149,14412559.0
2019-01-28,103.88,345443.6661,12283089.0
2019-01-29,104.17,346408.0352,9743271.0
2019-01-30,104.41,347206.1338,12526274.0
2019-01-31,103.5,344180.01,17520551.0
2019-02-01,103.88,345443.6661,13000780.0
2019-02-04,104.25,346674.0681,9871549.0
2019-02-05,103.79,345144.3791,12762982.0
2019-02-06,103.74,344978.1086,8744957.0
2019-02-07,102.38,340455.55,13177489.0
2019-02-08,101.36,337063.6311,12892562.0
2019-02-11,100.88,335467.4339,10978516.0
2019-02-12,102.6,341187.1404,12852252.0
2019-02-13,103.09,342816.5916,10754061.0
2019-02-14,102.42,340588.5665,11518530.0
2019-02-15,105.55,350997.102,14716861.0
2019-02-19,105.18,349766.7001,12764888.0
2019-02-20,105.69,351462.6595,10030326.0
2019-02-21,105.47,350731.0692,8400075.0
2019-02-22,105.0,349168.1261,10647258.0
2019-02-25,106.1,352826.0779,11230679.0
2019-02-26,105.29,344744.9113,15465393.0
2019-02-27,105.16,344319.2599,9968822.0
2019-02-28,104.36,341699.8665,15156850.0
2019-03-01,104.43,341929.0634,13813310.0
2019-03-04,104.19,341143.2454,12466285.0
2019-03-05,104.11,340881.3061,10856646.0
2019-03-06,103.72,339604.3518,9070782.0
2019-03-07,102.97,337148.6705,12705739.0
2019-03-08,103.01,337279.6402,10582371.0
2019-03-11,104.35,341667.1241,9763235.0
2019-03-12,104.04,340652.1092,10219100.0
2019-03-13,104.39,341798.0938,13022241.0
2019-03-14,105.34,344908.6234,10926470.0
2019-03-15,106.55,348870.4559,24811730.0
2019-03-18,107.19,350965.9706,12935514.0
2019-03-19,106.8,349689.0163,12889267.0
2019-03-20,104.52,342223.7452,14920658.0
2019-03-21,102.87,336821.2464,19751044.0
2019-03-22,99.76,326638.3546,31115189.0
2019-03-25,98.93,323920.734,21032295.0
2019-03-26,99.92,327162.2333,15987129.0
2019-03-27,99.58,326048.9911,12753234.0
2019-03-28,100.71,329748.8842,12454070.0
2019-03-29,101.23,331451.4899,14523395.0
2019-04-01,104.64,342616.6542,17499280.0
2019-04-02,105.14,344253.7751,10295539.0
2019-04-03,105.35,344941.3658,11499209.0
2019-04-04,105.56,345628.9566,11952078.0
2019-04-05,105.31,342032.6694,9933660.0
2019-04-08,105.65,343136.9435,8056282.0
2019-04-09,104.87,340603.6087,9092188.0
2019-04-10,105.34,342130.1053,10882304.0
2019-04-11,106.23,345020.7052,11183845.0
2019-04-12,111.21,361195.0732,25834073.0
2019-04-15,109.94,357070.2846,15163815.0
2019-04-16,111.1,360837.8081,11583232.0
2019-04-17,114.3,371230.9762,17791890.0
2019-04-18,113.46,368502.7696,12501949.0
2019-04-22,113.6,368957.4707,7975860.0
2019-04-23,113.74,369412.1718,9193318.0
2019-04-24,113.55,368795.0774,9245743.0
2019-04-25,113.61,368989.9494,9311768.0
2019-04-26,114.47,371783.1133,7889519.0
2019-04-29,116.12,377142.0907,14242237.0
2019-04-30,116.05,376914.7401,11389147.0
2019-05-01,115.16,374024.1402,10412881.0
2019-05-02,115.41,374836.1065,8613305.0
2019-05-03,116.12,376690.1414,8185409.0
2019-05-06,115.09,373348.8492,9387010.0
2019-05-07,113.21,367250.18,15017725.0
2019-05-08,112.61,365303.7963,9576075.0
2019-05-09,112.52,365011.8387,12205866.0
2019-05-10,112.51,364979.399,13189381.0
2019-05-13,109.45,355052.8417,13783652.0
2019-05-14,110.32,357875.0982,10503672.0
2019-05-15,109.9,356512.6295,10142048.0
2019-05-16,111.31,361086.6314,9672729.0
2019-05-17,110.77,359334.886,9570477.0
2019-05-20,111.35,361216.3903,8518244.0
2019-05-21,111.73,362449.1,7967976.0
2019-05-22,110.82,359497.0846,7918898.0
2019-05-23,108.64,352425.2236,14557969.0
2019-05-24,109.71,355896.2746,8537252.0
2019-05-28,108.52,352035.9468,11665579.0
2019-05-29,108.22,351062.7549,9966365.0
2019-05-30,107.06,347299.7463,10367822.0
2019-05-31,105.96,343731.376,10952857.0
2019-06-03,106.46,345353.3625,11680745.0
2019-06-04,109.74,355993.5938,12858587.0
2019-06-05,110.13,357258.7433,8340484.0
2019-06-06,110.37,358037.2968,8726664.0
2019-06-07,109.16,354112.0895,10618932.0
