,SMCI US Equity,SMCI US Equity,SMCI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2019-11-06,20.7,1032.5556,28717.0
2019-11-07,20.9,1042.532,63430.0
2019-11-08,21.25,1059.9907,74166.0
2019-11-11,21.37,1065.9765,70776.0
2019-11-12,21.45,1069.9671,41146.0
2019-11-13,21.5,1072.4612,45755.0
2019-11-14,21.55,1074.9552,139739.0
2019-11-15,22.18,1106.3809,146009.0
2019-11-18,21.87,1090.9175,64550.0
2019-11-19,21.45,1069.9671,32295.0
2019-11-20,21.1,1052.5084,39318.0
2019-11-21,21.0,1047.5202,34054.0
2019-11-22,21.0,1047.5202,87365.0
2019-11-25,21.25,1059.9907,126073.0
2019-11-26,21.5,1072.4612,211620.0
2019-11-27,21.5,1072.4612,12320.0
2019-11-29,21.3,1062.4848,3038.0
2019-12-02,21.495,1072.2117,33811.0
2019-12-03,21.6,1077.4493,96126.0
2019-12-04,21.55,1074.9552,213052.0
2019-12-05,21.5,1072.4612,134073.0
2019-12-06,21.6,1077.4493,170256.0
2019-12-09,22.03,1098.8986,233929.0
2019-12-10,22.0,1097.4021,236362.0
2019-12-11,21.7,1082.4375,188523.0
2019-12-12,22.0,1097.4021,78957.0
2019-12-13,22.06,1100.395,18702.0
2019-12-16,22.52,1123.3407,94544.0
2019-12-17,22.5,1122.3431,60644.0
2019-12-18,22.47,1120.8466,19427.0
2019-12-19,22.65,1134.4316,123309.0
2019-12-20,24.65,1234.6022,366422.0
2019-12-23,24.2,1212.0638,214876.0
2019-12-24,23.9,1197.0382,517696.0
2019-12-26,23.8,1192.0297,176999.0
2019-12-27,24.1,1207.0553,427261.0
2019-12-30,24.0,1202.0468,121097.0
2019-12-31,24.02,1203.0485,109345.0
2020-01-02,23.63,1183.5152,417824.0
2020-01-03,23.44,1173.999,30248.0
2020-01-06,23.27,1165.4845,93251.0
2020-01-07,23.1,1156.97,38683.0
2020-01-08,23.07,1155.4675,353705.0
2020-01-09,23.2,1161.9785,209757.0
2020-01-10,26.09,1306.725,834977.0
2020-01-13,28.51,1427.9314,565653.0
2020-01-14,27.0,1352.3026,567093.0
2020-01-15,27.7,1387.3623,413462.0
2020-01-16,28.61,1432.9399,668824.0
2020-01-17,28.67,1435.945,353613.0
2020-01-21,28.59,1431.9382,241301.0
2020-01-22,29.12,1458.4834,324096.0
2020-01-23,28.79,1441.9553,114550.0
2020-01-24,28.94,1449.4681,174696.0
2020-01-27,28.71,1437.9484,157170.0
2020-01-28,28.81,1442.957,96356.0
2020-01-29,28.78,1441.4544,160236.0
2020-01-30,28.75,1439.9519,248262.0
2020-01-31,27.96,1400.3845,137461.0
2020-02-03,28.66,1435.4442,167952.0
2020-02-04,29.21,1462.9911,214075.0
2020-02-05,29.46,1475.5124,155249.0
2020-02-06,28.26,1415.4101,247502.0
2020-02-07,27.55,1412.2193,768022.0
2020-02-10,29.105,1491.9289,293594.0
2020-02-11,28.99,1486.034,475347.0
2020-02-12,29.04,1488.597,411351.0
2020-02-13,28.69,1470.6559,296814.0
2020-02-14,28.02,1436.3116,363431.0
2020-02-18,27.53,1411.1941,275779.0
2020-02-19,27.56,1412.7319,235659.0
2020-02-20,27.86,1428.11,324649.0
2020-02-21,27.74,1421.9587,341919.0
2020-02-24,26.95,1381.4631,280367.0
2020-02-25,26.37,1351.7322,287639.0
2020-02-26,26.53,1359.9338,257267.0
2020-02-27,25.755,1320.2072,524530.0
2020-02-28,25.38,1300.9846,396055.0
2020-03-02,26.15,1340.455,295357.0
2020-03-03,26.095,1337.6356,308072.0
2020-03-04,26.67,1367.1103,393242.0
2020-03-05,25.89,1327.1273,534013.0
2020-03-06,25.26,1294.8334,397346.0
2020-03-09,23.04,1181.0357,557248.0
2020-03-10,24.38,1249.7244,385234.0
2020-03-11,24.24,1242.5479,521198.0
2020-03-12,22.2,1137.9771,692393.0
2020-03-13,22.92,1174.8844,495587.0
2020-03-16,17.38,890.9028,1183387.0
2020-03-17,19.12,980.0956,525638.0
2020-03-18,15.98,819.1384,363976.0
2020-03-19,16.1,825.2897,837259.0
2020-03-20,16.88,865.2726,465396.0
2020-03-23,16.77,859.634,646808.0
2020-03-24,18.81,964.2049,246399.0
2020-03-25,20.67,1059.5489,284656.0
2020-03-26,21.73,1113.8848,387625.0
2020-03-27,20.37,1044.1708,151902.0
2020-03-30,20.89,1070.8262,193007.0
2020-03-31,21.28,1090.8177,160032.0
2020-04-01,20.46,1048.7843,292734.0
