,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2022-12-20,87.56,88.0,88.12,87.125,1306643.0,28602.6943
2022-12-21,89.65,87.99,90.17,86.71,1409511.0,29285.422
2022-12-22,87.33,89.13,89.375,86.53,1548323.0,28527.5616
2022-12-23,88.04,87.52,88.23,87.13,600675.0,28759.493
2022-12-27,87.64,88.44,88.91,87.27,634390.0,28628.8274
2022-12-28,86.61,87.95,88.34,86.42,751999.0,28292.3636
2022-12-29,86.77,87.16,87.6899,86.28,870779.0,28344.6298
2022-12-30,86.21,86.6,86.6,85.12,1343347.0,28161.698
2023-01-03,81.91,86.0,86.12,80.79,4030562.0,26757.0431
2023-01-04,83.41,81.95,83.74,81.29,2612191.0,27247.039
2023-01-05,82.41,82.92,83.92,81.885,1906378.0,26920.375
2023-01-06,83.5,83.62,85.16,83.08,1914128.0,27276.4387
2023-01-09,84.0,83.85,85.21,83.58,1301581.0,27439.7707
2023-01-10,83.08,83.4,83.49,81.58,1376704.0,27139.2399
2023-01-11,84.11,83.0,84.375,82.44,1696257.0,27475.7037
2023-01-12,84.34,83.88,84.8,82.77,1496701.0,27550.8364
2023-01-13,85.16,83.81,85.705,83.45,1366233.0,27818.7009
2023-01-17,83.37,83.93,85.02,83.0,2763605.0,27233.9724
2023-01-18,81.85,83.32,84.51,81.77,2084850.0,26737.4432
2023-01-19,80.84,81.6,81.79,80.755,1635622.0,26407.5127
2023-01-20,83.0,81.12,83.1,80.45,1795068.0,27113.1068
2023-01-23,84.14,82.93,84.29,82.558,1596236.0,27485.5037
2023-01-24,83.91,84.0,84.23,82.98,1175996.0,27410.371
2023-01-25,83.4,83.42,83.56,82.49,1535226.0,27243.7723
2023-01-26,85.88,83.63,86.07,83.28,2161319.0,28053.8989
2023-01-27,86.58,85.88,86.66,84.84,1455323.0,28282.5637
2023-01-30,82.4,85.92,86.85,82.25,3045819.0,26917.1084
2023-01-31,85.36,82.88,85.5,82.38,2509040.0,27884.0337
2023-02-01,85.41,85.455,85.87,82.875,2623415.0,27900.3669
2023-02-02,85.33,85.48,86.68,83.755,2389568.0,27874.2337
2023-02-03,83.2,84.38,85.16,83.05,1807229.0,27178.4396
2023-02-06,83.26,83.01,83.85,82.51,1502006.0,27198.0394
2023-02-07,85.93,83.33,86.27,82.33,2032949.0,28070.2321
2023-02-08,84.34,84.75,85.0,84.14,2005949.0,27550.8364
2023-02-09,84.42,84.93,85.46,83.93,1975033.0,27576.9696
2023-02-10,86.81,84.21,86.9999,84.17,1350426.0,28357.6964
2023-02-13,86.39,86.89,87.3,85.94,1173561.0,28220.4975
2023-02-14,86.06,85.92,87.6021,85.15,2383102.0,28112.6984
2023-02-15,86.01,84.5,86.485,84.36,2030653.0,28096.3652
2023-02-16,85.63,85.0,87.92,84.925,3037693.0,27972.2329
2023-02-17,84.55,85.2,86.04,81.9,3570653.0,27619.4359
2023-02-21,80.37,81.61,83.01,79.9,5056023.0,26253.9806
2023-02-22,77.8,79.31,79.31,76.4,3341119.0,25414.4543
2023-02-23,79.22,78.0,79.445,78.0,1584907.0,25878.3171
2023-02-24,79.27,77.73,79.41,77.48,1529102.0,25894.6503
2023-02-27,78.37,79.42,80.1,77.995,1326219.0,25600.6527
2023-02-28,74.89,77.81,77.99,74.4,3584775.0,24463.8622
2023-03-01,74.35,74.13,75.39,72.83,2594368.0,24287.4637
2023-03-02,76.18,74.13,76.73,74.0,1949886.0,24885.2587
2023-03-03,78.98,76.23,79.2,76.0,2304756.0,25799.9177
2023-03-06,78.8,78.36,78.88,77.35,2294999.0,25741.1182
2023-03-07,77.9,79.07,79.07,77.32,2203903.0,25447.1207
2023-03-08,78.07,77.75,78.45,77.1,1261563.0,25502.6536
2023-03-09,78.64,78.04,80.19,77.4,3110895.0,25688.852
2023-03-10,77.55,79.19,79.78,77.24,2895697.0,25332.7883
2023-03-13,77.1,76.93,78.605,76.49,2242432.0,25185.7895
2023-03-14,77.93,77.5,79.1,77.17,2142804.0,25456.9206
2023-03-15,77.33,77.29,77.88,76.35,1956990.0,25260.9222
2023-03-16,78.43,76.62,79.04,76.03,1966454.0,25620.2526
2023-03-17,76.77,77.72,78.46,75.985,3896609.0,25077.9904
2023-03-20,77.0,77.06,78.43,76.91,1629512.0,25153.1231
2023-03-21,76.52,77.58,78.11,75.97,2045652.0,24996.3245
2023-03-22,74.42,76.27,76.33,74.4,1863373.0,24310.3302
2023-03-23,73.4,74.67,75.13,72.77,1655381.0,23977.133
2023-03-24,73.44,72.56,73.52,71.16,2777175.0,23990.1995
2023-03-27,75.27,73.44,75.425,73.44,3225474.0,24587.9945
2023-03-28,75.51,75.07,76.81,74.8535,1752386.0,24666.3939
2023-03-29,75.88,76.29,76.56,75.425,2299538.0,24787.2595
2023-03-30,76.82,76.69,77.44,76.0,1737815.0,25094.3236
2023-03-31,78.5,76.82,78.6,76.73,2984413.0,25643.1191
2023-04-03,76.62,78.0,78.55,76.48,1894927.0,25028.9909
2023-04-04,76.02,76.67,76.97,75.12,1316171.0,24832.9925
2023-04-05,76.5,75.88,77.12,75.68,1204816.0,24989.7912
2023-04-06,76.96,76.61,76.98,76.16,1222995.0,25140.0566
2023-04-10,77.33,76.53,77.37,75.8601,1485455.0,25260.9222
2023-04-11,77.42,77.76,77.81,77.175,1371529.0,25290.322
2023-04-12,76.81,77.93,77.95,76.66,1171137.0,25091.057
2023-04-13,77.14,76.69,77.59,76.17,1324699.0,25198.8561
2023-04-14,76.43,76.32,76.635,75.5,1328449.0,24966.9247
2023-04-17,75.04,76.58,76.825,74.66,1093263.0,24512.8618
2023-04-18,74.48,75.34,75.95,74.17,1235248.0,24329.93
2023-04-19,74.75,74.97,75.4,74.503,1039291.0,24418.1293
2023-04-20,76.47,74.74,76.5699,74.69,1926885.0,24979.9913
2023-04-21,76.55,76.82,76.965,75.96,1178948.0,25006.1244
2023-04-24,77.29,76.43,77.335,75.6,1094513.0,25247.8557
2023-04-25,76.93,76.64,77.14,75.84,1722595.0,25130.2567
2023-04-26,75.86,76.51,76.97,75.46,3100640.0,24780.7263
2023-04-27,76.75,76.27,77.24,75.98,1865730.0,25071.4572
2023-04-28,77.4,76.9,77.47,76.3,2233621.0,25283.7887
2023-05-01,77.05,77.52,77.65,76.76,1788349.0,25169.4563
2023-05-02,76.79,76.73,77.4,75.95,2554193.0,25084.5237
2023-05-03,76.51,77.2,77.6,76.15,1607034.0,24993.0578
2023-05-04,78.59,76.98,80.37,74.91,3830453.0,25672.5188
2023-05-05,79.49,79.12,80.45,78.28,2359300.0,25966.5164
2023-05-08,78.71,79.74,79.85,78.08,2360113.0,25711.7185
2023-05-09,78.95,77.98,79.1,77.81,3158354.0,25790.1178
2023-05-10,79.455,79.85,80.12,78.745,1629422.0,25955.0831
2023-05-11,79.12,78.58,79.55,78.24,2497425.0,25845.6507
2023-05-12,79.85,79.45,80.39,78.86,1991046.0,26084.1154
2023-05-15,80.27,80.63,81.09,79.18,2048283.0,26221.3142
2023-05-16,79.0,80.19,80.19,78.33,3709131.0,25806.451
2023-05-17,80.39,79.09,80.63,78.71,2329453.0,26260.5139
2023-05-18,81.4,80.27,81.47,79.5615,2849339.0,26590.4445
2023-05-19,82.3,81.73,83.235,81.53,2444827.0,26884.442
2023-05-22,83.53,82.73,83.96,82.31,1908314.0,27286.2387
2023-05-23,84.04,83.36,84.56,83.165,2232178.0,27452.8373
2023-05-24,83.31,84.04,84.37,82.55,2430342.0,27214.3726
2023-05-25,82.75,83.2,83.2,81.9,1863123.0,27031.4408
2023-05-26,83.85,82.95,83.95,82.31,2267083.0,27390.7711
2023-05-30,83.7,83.86,85.045,83.135,2198211.0,27341.7715
2023-05-31,84.02,83.53,84.55,82.45,5214718.0,27446.304
