,MAS US Equity,MAS US Equity,MAS US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-09-05,38.12,11721.0117,2642496.0
2018-09-06,37.92,11659.5164,2254183.0
2018-09-07,37.73,11601.0958,1984519.0
2018-09-10,37.83,11631.8434,2018138.0
2018-09-11,38.07,11705.6379,1957005.0
2018-09-12,38.63,11877.8248,4461275.0
2018-09-13,38.23,11754.8341,2066306.0
2018-09-14,38.19,11742.5351,2033450.0
2018-09-17,38.32,11782.507,1910541.0
2018-09-18,38.5,11837.8528,2473585.0
2018-09-19,38.73,11908.5725,2070666.0
2018-09-20,38.61,11871.6753,1913411.0
2018-09-21,38.54,11850.1519,2989542.0
2018-09-24,37.75,11607.2453,2125963.0
2018-09-25,37.57,11551.8995,2733417.0
2018-09-26,37.32,11475.0303,3255533.0
2018-09-27,37.25,11453.507,3116935.0
2018-09-28,36.6,11253.6471,4465068.0
2018-10-01,36.29,11158.3293,4348705.0
2018-10-02,36.5,11222.8994,5165143.0
2018-10-03,36.48,11216.7499,4968454.0
2018-10-04,36.13,11109.1331,4873008.0
2018-10-05,35.82,11013.8153,5883547.0
2018-10-08,35.39,10881.6003,4115815.0
2018-10-09,33.9,10423.46,6535349.0
2018-10-10,33.38,10263.5721,5054049.0
2018-10-11,32.6,10023.7403,5230637.0
2018-10-12,32.29,9928.4225,6425484.0
2018-10-15,32.05,9854.6281,3292503.0
2018-10-16,32.36,9949.9459,4182863.0
2018-10-17,31.96,9826.9552,4019353.0
2018-10-18,31.0,9531.7776,4862559.0
2018-10-19,30.92,9507.1795,3626646.0
2018-10-22,30.29,9313.4692,7361396.0
2018-10-23,30.94,9513.329,6247800.0
2018-10-24,29.81,9165.8803,5184878.0
2018-10-25,30.16,9273.4972,6039467.0
2018-10-26,27.66,8504.8054,12368604.0
2018-10-29,27.45,8440.2353,9001298.0
2018-10-30,29.5,9012.2012,7074510.0
2018-10-31,30.0,9164.9504,6630329.0
2018-11-01,31.39,9589.5931,8158908.0
2018-11-02,31.32,9568.2082,6507404.0
2018-11-05,31.42,9598.7581,4631859.0
2018-11-06,31.42,9598.7581,4030767.0
2018-11-07,31.49,9620.1429,4473499.0
2018-11-08,31.03,9479.6137,4122572.0
2018-11-09,31.03,9479.6137,4801635.0
2018-11-12,30.58,9342.1395,4722920.0
2018-11-13,30.95,9455.1738,3294267.0
2018-11-14,31.12,9507.1086,4106294.0
2018-11-15,31.38,9586.5381,5458592.0
2018-11-16,31.29,9559.0433,4179690.0
2018-11-19,30.78,9403.2391,3709267.0
2018-11-20,30.65,9363.5243,4727082.0
2018-11-21,30.8,9409.3491,4264071.0
2018-11-23,30.85,9424.624,1010278.0
2018-11-26,31.32,9568.2082,5832832.0
2018-11-27,31.04,9482.6687,3862385.0
2018-11-28,31.95,9760.6722,5015108.0
2018-11-29,31.28,9555.9883,4349367.0
2018-11-30,31.69,9681.2426,2765533.0
2018-12-03,32.53,9937.8612,4905449.0
2018-12-04,30.68,9372.6893,4295974.0
2018-12-06,30.49,9314.6446,5368084.0
2018-12-07,30.13,9204.6652,4474499.0
2018-12-10,29.94,9146.6205,4137609.0
2018-12-11,29.33,8960.2665,3907440.0
2018-12-12,29.62,9048.861,2880881.0
2018-12-13,29.53,9021.3662,3595735.0
2018-12-14,29.54,9024.4212,3373706.0
2018-12-17,28.89,8825.8472,3506316.0
2018-12-18,28.89,8825.8472,4011588.0
2018-12-19,29.23,8929.7167,6521984.0
2018-12-20,28.98,8853.3421,7410572.0
2018-12-21,28.5,8706.7029,6854113.0
2018-12-24,27.54,8413.4245,1927869.0
2018-12-26,28.57,8728.0878,3155119.0
2018-12-27,29.15,8905.2768,3269603.0
2018-12-28,28.9,8828.9022,3147772.0
2018-12-31,29.24,8932.7717,2639901.0
2019-01-02,29.55,9027.4762,2885309.0
2019-01-03,29.07,8880.8369,3889915.0
2019-01-04,30.74,9391.0192,4503589.0
2019-01-07,31.6,9653.7478,4663636.0
2019-01-08,31.89,9742.3423,5182011.0
2019-01-09,32.74,10002.0159,4954442.0
2019-01-10,32.81,10023.4008,4824094.0
2019-01-11,32.56,9947.0262,2641001.0
2019-01-14,32.44,9910.3664,3099201.0
2019-01-15,31.45,9607.923,6602438.0
2019-01-16,30.77,9400.1841,5817365.0
2019-01-17,31.61,9656.8027,3929155.0
2019-01-18,32.22,9843.1567,5562012.0
2019-01-22,30.99,9467.3938,5134023.0
2019-01-23,30.94,9452.1189,3285771.0
2019-01-24,31.47,9614.033,3476614.0
2019-01-25,31.62,9659.8577,2561698.0
2019-01-28,32.11,9809.5519,3887747.0
2019-01-29,32.23,9846.2117,3854132.0
2019-01-30,32.18,9830.9368,3189230.0
2019-01-31,32.41,9901.2014,5095299.0
2019-02-01,33.04,10093.6654,5508376.0
2019-02-04,33.38,10197.5348,2428215.0
2019-02-05,33.19,10139.4901,3238674.0
2019-02-06,33.25,10157.82,5069027.0
2019-02-07,35.52,10460.3736,8549732.0
2019-02-08,35.9,10572.2808,7792045.0
2019-02-11,36.23,10669.4633,4654060.0
2019-02-12,36.78,10831.4342,5192125.0
2019-02-13,37.18,10949.2312,3446843.0
2019-02-14,37.25,10969.8456,2805312.0
2019-02-15,37.46,11031.6891,2673000.0
2019-02-19,37.91,11164.2107,3538887.0
2019-02-20,37.57,11064.0832,3524196.0
2019-02-21,37.72,11108.2571,4813593.0
2019-02-22,37.81,11134.7614,2362857.0
2019-02-25,37.89,11158.3208,3830140.0
2019-02-26,37.76,11120.0368,3887985.0
2019-02-27,37.89,11158.3208,2723269.0
2019-02-28,37.56,11061.1383,3908985.0
2019-03-01,40.0,11779.7,8968068.0
2019-03-04,39.96,11767.9203,5591921.0
2019-03-05,39.56,11650.1233,3912953.0
2019-03-06,39.35,11588.2799,3743801.0
2019-03-07,38.97,11476.3727,3569945.0
2019-03-08,39.24,11555.8857,2559143.0
2019-03-11,39.34,11585.335,3188078.0
2019-03-12,39.26,11561.7756,2680328.0
2019-03-13,38.96,11473.4278,3646921.0
2019-03-14,38.91,11458.7032,2943517.0
2019-03-15,38.98,11479.3176,4948335.0
2019-03-18,39.15,11529.3814,4508158.0
2019-03-19,38.96,11473.4278,2510457.0
2019-03-20,38.56,11355.6308,3791858.0
2019-03-21,39.11,11517.6017,2629404.0
2019-03-22,38.25,11264.3381,3302505.0
2019-03-25,38.72,11402.7496,2245738.0
2019-03-26,38.81,11429.2539,4321557.0
2019-03-27,38.58,11361.5207,2784969.0
2019-03-28,39.12,11520.5466,2172110.0
2019-03-29,39.31,11576.5002,3156046.0
2019-04-01,39.31,11568.6992,3446940.0
2019-04-02,39.58,11648.1586,3856108.0
2019-04-03,39.59,11651.1016,2995504.0
2019-04-04,40.12,11807.0774,1979918.0
2019-04-05,40.75,11992.4827,3161885.0
2019-04-08,40.85,12021.9121,1827443.0
2019-04-09,40.25,11845.3356,1575030.0
2019-04-10,40.41,11892.4227,2105449.0
2019-04-11,40.31,11862.9933,2579568.0
2019-04-12,40.46,11907.1374,2186832.0
2019-04-15,40.53,11927.738,2298913.0
2019-04-16,40.47,11910.0803,2963120.0
2019-04-17,39.99,11768.8192,3123166.0
2019-04-18,40.04,11783.5339,4037463.0
2019-04-22,39.7,11683.4739,3053710.0
2019-04-23,39.99,11768.8192,4901845.0
2019-04-24,39.99,11768.8192,3705511.0
2019-04-25,37.5,11008.0828,9167083.0
2019-04-26,38.48,11295.7607,7555206.0
2019-04-29,39.33,11545.2772,5240062.0
2019-04-30,39.06,11466.019,3938889.0
2019-05-01,39.31,11539.4062,3600246.0
2019-05-02,39.74,11665.6323,2992505.0
2019-05-03,40.44,11871.1165,2493978.0
2019-05-06,40.09,11768.3744,3441764.0
2019-05-07,38.89,11416.1157,4402531.0
2019-05-08,38.28,11237.0509,4606352.0
2019-05-09,37.83,11104.9539,6389894.0
2019-05-10,37.94,11137.2443,4946652.0
2019-05-13,36.99,10858.3728,4453543.0
2019-05-14,37.35,10964.0504,3219943.0
2019-05-15,37.86,11113.7604,4725409.0
2019-05-16,38.16,11201.825,3416978.0
2019-05-17,37.55,11022.7602,2757221.0
2019-05-20,37.67,11057.9861,2441571.0
2019-05-21,38.07,11175.4056,2447355.0
2019-05-22,37.93,11134.3088,1989938.0
2019-05-23,36.9,10831.9535,4724416.0
2019-05-24,37.28,10943.502,2341255.0
2019-05-28,36.47,10705.7274,2597314.0
2019-05-29,35.92,10544.2756,3603037.0
2019-05-30,35.84,10520.7916,2558772.0
2019-05-31,34.92,10250.7267,2733408.0
2019-06-03,35.6,10450.3399,3283693.0
2019-06-04,37.19,10917.0826,3381111.0
2019-06-05,37.22,10925.8891,2277686.0
2019-06-06,37.43,10987.5344,1677027.0
2019-06-07,37.96,11143.1153,2391820.0
2019-06-10,37.88,11119.6313,2095527.0
2019-06-11,37.94,11137.2443,2305049.0
2019-06-12,38.17,11204.7605,1718422.0
2019-06-13,39.04,11460.148,3460128.0
2019-06-14,38.29,11239.9864,3487536.0
2019-06-17,37.94,11137.2443,2812441.0
2019-06-18,37.85,11110.8249,5508926.0
2019-06-19,37.56,11025.6957,2929514.0
2019-06-20,38.66,11348.5995,3468208.0
2019-06-21,38.1,11184.2121,3552055.0
2019-06-24,38.85,11404.3738,3341773.0
2019-06-25,38.4,11272.2768,2989862.0
2019-06-26,38.89,11416.1157,3164388.0
2019-06-27,39.0,11448.4061,2184613.0
2019-06-28,39.24,11518.8578,6766330.0
2019-07-01,39.57,11615.7289,2817244.0
2019-07-02,39.69,11650.9548,2374817.0
2019-07-03,39.79,11680.3097,2206589.0
2019-07-05,39.84,11694.9871,1481562.0
2019-07-08,39.54,11606.9225,1743610.0
2019-07-09,39.29,11533.5353,2103608.0
2019-07-10,38.4,11272.2768,2925580.0
2019-07-11,38.12,11190.0831,3453230.0
2019-07-12,38.75,11375.0189,3103922.0
2019-07-15,38.94,11430.7932,2039162.0
2019-07-16,39.4,11565.8256,2821522.0
2019-07-17,38.63,11339.793,2158394.0
2019-07-18,38.21,11216.5025,4152578.0
2019-07-19,37.85,11110.8249,3168880.0
2019-07-22,37.57,11028.6312,3464434.0
2019-07-23,38.6,11330.9865,2636118.0
2019-07-24,39.2,11507.1159,5097274.0
2019-07-25,42.38,12267.1455,7123096.0
2019-07-26,41.5,12012.4242,3616385.0
2019-07-29,40.78,11804.0159,2204204.0
2019-07-30,41.56,12029.7916,2380687.0
2019-07-31,40.77,11801.1214,2676120.0
2019-08-01,39.16,11335.0972,4284444.0
2019-08-02,39.97,11569.5566,3474697.0
