,VLO US Equity,VLO US Equity,VLO US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2022-06-14,133.75,54582.8956,5183534.0
2022-06-15,128.3,52358.7702,8490716.0
2022-06-16,118.74,48457.3684,10800561.0
2022-06-17,112.44,45886.361,15530906.0
2022-06-21,116.47,47530.9896,8833485.0
2022-06-22,113.13,46167.9475,8295345.0
2022-06-23,104.53,42658.3184,10350240.0
2022-06-24,103.93,42413.4605,15070026.0
2022-06-27,112.24,45804.7417,8892259.0
2022-06-28,116.25,47441.2084,8610932.0
2022-06-29,108.85,44421.2949,5579247.0
2022-06-30,106.28,43372.4871,6085063.0
2022-07-01,107.98,44066.251,4355371.0
2022-07-05,103.59,42274.7077,5316800.0
2022-07-06,101.71,41507.4865,5496182.0
2022-07-07,106.34,43396.9729,4351377.0
2022-07-08,107.03,43678.5594,3675210.0
2022-07-11,107.79,43988.7127,2942503.0
2022-07-12,104.86,42792.9902,3152460.0
2022-07-13,102.39,41784.992,3118791.0
2022-07-14,100.78,41127.9568,5118144.0
2022-07-15,104.59,42682.8041,2791874.0
2022-07-18,106.31,43384.73,3145181.0
2022-07-19,108.74,44376.4043,2933521.0
2022-07-20,109.28,44596.7763,2720617.0
2022-07-21,104.15,42503.2417,4933822.0
2022-07-22,104.02,42450.1892,3855275.0
2022-07-25,109.32,44613.1002,3740243.0
2022-07-26,107.63,43923.4173,2853083.0
2022-07-27,111.5,45502.7504,4220462.0
2022-07-28,109.51,43143.6922,6920523.0
2022-07-29,110.77,43640.0948,6066745.0
2022-08-01,110.65,43592.8183,3960743.0
2022-08-02,112.99,44514.7089,4282630.0
2022-08-03,107.81,42473.9426,5096158.0
2022-08-04,104.33,41102.9258,5451764.0
2022-08-05,104.99,41362.9462,3680514.0
2022-08-08,106.39,41914.5047,2959626.0
2022-08-09,110.67,43600.6977,3535809.0
2022-08-10,111.76,44030.1254,4384969.0
2022-08-11,114.09,44948.0763,3752253.0
2022-08-12,115.19,45381.4437,2413259.0
2022-08-15,111.95,44104.9798,3822595.0
2022-08-16,113.31,44640.7795,3353089.0
2022-08-17,117.75,46390.0078,4093895.0
2022-08-18,118.79,46799.7369,4531926.0
2022-08-19,118.55,46705.184,2667491.0
2022-08-22,119.13,46933.6868,2774196.0
2022-08-23,122.11,48107.7185,3179355.0
2022-08-24,122.12,48111.6582,3423826.0
2022-08-25,123.36,48600.1814,4014746.0
2022-08-26,121.88,48017.1053,3077325.0
2022-08-29,123.42,48623.8196,3335964.0
2022-08-30,118.03,46500.3195,4032732.0
2022-08-31,117.12,46141.8065,4688049.0
2022-09-01,110.64,43588.8786,4500671.0
2022-09-02,113.82,44841.7043,3772561.0
2022-09-06,112.78,44431.9752,2637582.0
2022-09-07,112.62,44368.9399,3052773.0
2022-09-08,111.93,44097.1004,2714159.0
2022-09-09,113.32,44644.7192,2595471.0
2022-09-12,114.25,45011.1116,2516381.0
2022-09-13,111.33,43860.7182,2936945.0
2022-09-14,109.59,43175.2098,5043611.0
2022-09-15,105.16,41429.9212,6351636.0
2022-09-16,104.46,41154.1419,10339917.0
2022-09-19,104.67,41236.8757,3491617.0
2022-09-20,107.42,42320.2941,4195946.0
2022-09-21,105.53,41575.6902,4301266.0
2022-09-22,107.59,42387.2691,3026755.0
2022-09-23,100.57,39621.5973,5809056.0
2022-09-26,97.89,38565.7568,4691737.0
2022-09-27,101.17,39857.9795,3256421.0
2022-09-28,108.8,42863.9732,4073925.0
2022-09-29,107.24,42249.3795,3152869.0
2022-09-30,106.85,42095.731,3718455.0
2022-10-03,112.31,44246.8091,3970428.0
2022-10-04,117.58,46323.0328,4324775.0
2022-10-05,118.09,46523.9577,4207242.0
2022-10-06,119.22,46969.1442,2857988.0
2022-10-07,113.78,44825.9455,4557800.0
2022-10-10,110.86,43675.5521,3494714.0
2022-10-11,109.69,43214.6068,2874879.0
2022-10-12,115.2,45385.3834,4252330.0
2022-10-13,120.86,47615.2555,4495623.0
2022-10-14,114.12,44959.8954,3738269.0
2022-10-17,115.5,45503.5745,3712404.0
2022-10-18,117.7,46370.3093,4929378.0
2022-10-19,123.96,48836.5636,4692945.0
2022-10-20,124.44,49025.6694,4177617.0
2022-10-21,127.74,50325.7715,3401944.0
2022-10-24,129.22,50908.8476,4595984.0
2022-10-25,126.8,49955.4394,4396353.0
2022-10-26,126.74,48861.2203,3307876.0
2022-10-27,128.27,49451.0709,3488577.0
2022-10-28,125.98,48568.2226,3505129.0
2022-10-31,125.55,48402.4476,4265069.0
2022-11-01,130.0,50118.0261,3973984.0
2022-11-02,125.83,48510.3941,4057301.0
2022-11-03,129.71,50006.2244,3218890.0
2022-11-04,128.72,49624.5563,3203978.0
2022-11-07,131.78,50804.2576,3767934.0
2022-11-08,132.25,50985.4535,3736876.0
2022-11-09,128.0,49346.9796,4125891.0
2022-11-10,132.45,51062.5582,2916284.0
2022-11-11,133.96,51644.6983,4438213.0
2022-11-14,136.8,52739.5844,4593674.0
2022-11-15,140.71,54246.9804,4765766.0
2022-11-16,135.53,52249.9699,4649672.0
2022-11-17,137.91,53167.5153,2900030.0
2022-11-18,137.62,53055.7135,3388274.0
2022-11-21,135.96,52415.7449,3927479.0
2022-11-22,141.98,54736.595,3134360.0
2022-11-23,139.21,53668.6955,2878324.0
2022-11-25,138.4,53356.4217,998236.0
2022-11-28,134.84,51983.9588,3393929.0
2022-11-29,135.2,52122.7472,4075754.0
2022-11-30,133.62,51513.6204,8274270.0
2022-12-01,132.03,50900.6384,4563399.0
2022-12-02,127.07,48988.4429,5487993.0
2022-12-05,120.96,46632.8957,5081170.0
2022-12-06,118.86,45823.2968,4494794.0
2022-12-07,120.19,46336.0428,4990411.0
2022-12-08,116.9,45067.6712,4984321.0
2022-12-09,114.65,44200.2438,4975060.0
2022-12-12,120.66,46517.2387,5807324.0
2022-12-13,120.53,46467.1207,3828781.0
2022-12-14,119.73,46158.7021,3607828.0
2022-12-15,119.92,46231.9515,3234506.0
2022-12-16,119.37,46019.9137,6945904.0
2022-12-19,119.71,46150.9916,3260773.0
2022-12-20,121.88,46987.5771,3156260.0
2022-12-21,122.68,47295.9957,3040126.0
2022-12-22,119.62,46116.2945,3037881.0
2022-12-23,124.37,47947.5301,3270406.0
2022-12-27,126.41,48733.9976,3484446.0
2022-12-28,125.35,48325.3429,3856285.0
2022-12-29,126.32,48699.3005,2456773.0
2022-12-30,126.86,48907.483,2043533.0
2023-01-03,120.04,46278.2143,3671585.0
2023-01-04,119.62,46116.2945,3283770.0
2023-01-05,126.59,48803.3918,4974643.0
2023-01-06,127.56,49177.3493,4818820.0
2023-01-09,128.58,49570.5831,4438557.0
2023-01-10,132.01,50892.9279,3518096.0
2023-01-11,133.6,51505.9099,4172549.0
2023-01-12,135.32,52169.01,3269557.0
2023-01-13,136.13,52481.2838,2603965.0
2023-01-17,137.61,53051.8583,2781060.0
2023-01-18,135.52,52246.1146,3564358.0
2023-01-19,138.47,53383.4083,3224866.0
2023-01-20,142.73,55025.7375,3709802.0
2023-01-23,143.08,55160.6706,3908311.0
2023-01-24,145.03,55912.441,3142401.0
2023-01-25,143.35,55264.7619,2955948.0
2023-01-26,149.96,57813.0708,4708086.0
2023-01-27,143.21,55210.7886,3638503.0
2023-01-30,140.19,54046.5083,2991348.0
2023-01-31,140.03,53984.8246,5427278.0
2023-02-01,136.23,52519.8362,4159196.0
2023-02-02,133.05,51293.8721,4171067.0
2023-02-03,131.73,50784.9814,3027312.0
2023-02-06,128.09,49381.6767,4401832.0
2023-02-07,134.52,51860.5914,3591355.0
2023-02-08,134.12,51706.382,4991051.0
2023-02-09,132.62,51128.0971,3822410.0
2023-02-10,140.73,54254.6909,4815438.0
2023-02-13,139.8,53896.1543,3072456.0
2023-02-14,139.69,53853.7467,3030268.0
2023-02-15,136.37,52573.8094,3978195.0
2023-02-16,133.97,51648.5536,2589829.0
2023-02-17,129.61,49967.6721,3380213.0
2023-02-21,132.2,50966.1774,3343519.0
2023-02-22,130.69,50384.0372,3245372.0
2023-02-23,132.43,49151.5052,2620472.0
2023-02-24,132.75,49270.2735,3012958.0
