,NI US Equity,NI US Equity,NI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2015-03-27,17.2588,13888.0273,2976383.0
2015-03-30,17.3609,13970.2424,1981867.0
2015-03-31,17.3531,13963.9181,2902503.0
2015-04-01,17.3884,13992.3772,2601680.0
2015-04-02,17.3531,13963.9181,2338693.0
2015-04-06,17.5535,14125.1862,1240203.0
2015-04-07,17.3688,14022.7967,1666666.0
2015-04-08,17.302,13968.8628,1553069.0
2015-04-09,17.1448,13841.9597,1250947.0
2015-04-10,17.243,13921.2742,1313473.0
2015-04-13,16.9837,13711.884,1615957.0
2015-04-14,17.0112,13734.092,2398769.0
2015-04-15,17.1959,13883.2032,2254255.0
2015-04-16,17.0269,13746.7823,2292412.0
2015-04-17,16.9562,13689.6759,2253327.0
2015-04-20,17.0976,13803.8887,2724865.0
2015-04-21,17.1644,13857.8226,2272477.0
2015-04-22,17.3649,14019.6241,2197813.0
2015-04-23,17.522,14146.5272,1695861.0
2015-04-24,17.6321,14235.3594,1528410.0
2015-04-27,17.4474,14086.2482,1767908.0
2015-04-28,17.4081,14054.5224,1883518.0
2015-04-29,17.2902,13959.3451,1571592.0
2015-04-30,17.0623,13780.5444,2336986.0
2015-05-01,17.2352,13920.1906,2057228.0
2015-05-04,17.3452,14009.0564,1078531.0
2015-05-05,16.9444,13685.3311,1858646.0
2015-05-06,16.8422,13602.8128,2275327.0
2015-05-07,16.909,13656.7671,1372423.0
2015-05-08,17.3177,13986.84,2608621.0
2015-05-11,17.4395,14085.2271,2633024.0
2015-05-12,17.471,14110.6173,2855594.0
2015-05-13,17.2666,13945.5809,3202996.0
2015-05-14,17.3531,14015.404,2776708.0
2015-05-15,17.8718,14434.3427,2892686.0
2015-05-18,18.304,14783.4583,3878293.0
2015-05-19,18.4416,14894.5405,2618091.0
2015-05-20,18.5516,14983.4063,3744133.0
2015-05-21,18.5044,14945.321,2310738.0
2015-05-22,18.5948,15018.3179,1987258.0
2015-05-26,18.4848,14929.4521,3047136.0
2015-05-27,18.4101,14869.1503,1854586.0
2015-05-28,18.6105,15031.013,1760478.0
2015-05-29,18.5398,14973.885,1935757.0
2015-06-01,18.4927,14935.7996,1289436.0
2015-06-02,18.2805,14764.4156,1639396.0
2015-06-03,18.0918,14612.0743,1953217.0
2015-06-04,17.9504,14497.8183,1347752.0
2015-06-05,17.7971,14374.0409,1451050.0
2015-06-08,17.6871,14285.1751,1729322.0
2015-06-09,17.7067,14301.044,1057107.0
2015-06-10,17.9346,14485.1231,1426181.0
2015-06-11,18.2136,14710.4614,2356954.0
2015-06-12,18.0604,14586.684,1838534.0
2015-06-15,18.2136,14710.4614,2622356.0
2015-06-16,18.3394,14812.0223,2277698.0
2015-06-17,19.0192,15361.0859,6544893.0
2015-06-18,19.145,15462.6468,3515394.0
2015-06-19,18.8817,15250.0037,2704422.0
2015-06-22,18.9838,15332.5219,2432633.0
2015-06-23,18.6105,15031.013,2161431.0
2015-06-24,18.4691,14916.757,1898457.0
2015-06-25,18.2883,14770.7632,2130975.0
2015-06-26,18.1744,14678.7236,2947353.0
2015-06-29,18.0565,14583.5103,2179037.0
2015-06-30,17.915,14469.2542,2910080.0
2015-07-01,17.86,14424.8214,3740554.0
2015-07-02,16.99,5392.249,16010299.0
2015-07-06,16.84,5344.6423,11162984.0
2015-07-07,17.12,5433.5081,10865443.0
2015-07-08,17.14,5439.8556,7037833.0
2015-07-09,16.75,5316.0783,6645525.0
2015-07-10,16.91,5366.8587,4268700.0
2015-07-13,16.91,5366.8587,4825556.0
2015-07-14,16.78,5325.5996,3821523.0
2015-07-15,16.98,5389.0752,4408979.0
2015-07-16,17.32,5496.9836,5929611.0
2015-07-17,16.9,5363.6849,6035520.0
2015-07-20,16.91,5366.8587,4777358.0
2015-07-21,16.84,5344.6423,3341464.0
2015-07-22,16.96,5382.7276,3501091.0
2015-07-23,16.54,5249.4289,3763020.0
2015-07-24,17.03,5404.9441,4693677.0
2015-07-27,17.25,5474.7672,4558932.0
2015-07-28,17.24,5471.5934,4858625.0
2015-07-29,17.04,5408.1178,4476245.0
2015-07-30,17.12,5433.5081,2744870.0
2015-07-31,17.46,5541.4165,6072326.0
2015-08-03,17.07,5425.8554,5230948.0
2015-08-04,16.82,5346.3906,4899083.0
2015-08-05,16.83,5349.5692,4681533.0
2015-08-06,16.85,5355.9264,4300126.0
2015-08-07,16.91,5374.9979,3678830.0
2015-08-10,16.88,5365.4621,3927380.0
2015-08-11,17.09,5432.2125,4103194.0
2015-08-12,17.71,5629.2852,5592736.0
2015-08-13,17.72,5632.4638,3453000.0
2015-08-14,17.82,5664.2497,3645541.0
2015-08-17,18.0,5721.4644,4302710.0
2015-08-18,17.74,5638.821,3228725.0
2015-08-19,17.81,5661.0711,2811493.0
2015-08-20,17.54,5575.2492,3851416.0
2015-08-21,17.28,5492.6058,3597014.0
2015-08-24,16.52,5251.0328,5984928.0
2015-08-25,16.2,5149.3179,6058131.0
2015-08-26,16.7,5308.2475,5629620.0
2015-08-27,17.05,5419.4982,2348668.0
2015-08-28,17.06,5422.6768,1990629.0
2015-08-31,16.79,5336.8548,2694961.0
2015-09-01,16.48,5238.3185,3510747.0
2015-09-02,16.29,5177.9252,3440236.0
2015-09-03,16.46,5231.9613,2243555.0
2015-09-04,16.17,5139.7821,2303928.0
2015-09-08,16.63,5285.9973,2914839.0
2015-09-09,16.47,5235.1399,2804452.0
2015-09-10,16.58,5270.1044,3303909.0
2015-09-11,16.61,5279.6402,3574002.0
2015-09-14,16.74,5320.9619,2247172.0
2015-09-15,16.86,5359.1049,2084784.0
2015-09-16,17.19,5463.9985,2235980.0
2015-09-17,17.48,5556.1776,2828744.0
2015-09-18,17.42,5537.1061,6331956.0
2015-09-21,17.49,5559.3562,2093867.0
2015-09-22,17.32,5505.3201,2607927.0
2015-09-23,17.44,5543.4632,2567354.0
2015-09-24,17.59,5591.1421,3230342.0
2015-09-25,17.95,5705.5714,4170846.0
2015-09-28,17.83,5667.4283,3034649.0
2015-09-29,17.9,5689.6784,2790745.0
2015-09-30,18.55,5896.2869,3570875.0
2015-10-01,18.47,5870.8581,3535949.0
2015-10-02,18.82,5982.1088,3600855.0
2015-10-05,19.05,6055.2164,3733546.0
2015-10-06,18.72,5950.3229,4287902.0
2015-10-07,18.93,6017.0733,4873427.0
2015-10-08,19.09,6067.9308,2573330.0
2015-10-09,18.98,6032.9663,2522898.0
2015-10-12,19.05,6055.2164,2257242.0
2015-10-13,19.11,6074.288,3736366.0
2015-10-14,19.07,6061.5736,1518431.0
2015-10-15,19.39,6163.2885,2205027.0
2015-10-16,19.46,6185.5387,1911026.0
2015-10-19,19.55,6214.146,1818386.0
2015-10-20,19.54,6210.9674,3464909.0
2015-10-21,19.4,6166.4671,1543607.0
2015-10-22,19.75,6277.7178,1742743.0
2015-10-23,19.61,6233.2176,2385845.0
2015-10-26,19.57,6220.5032,1545008.0
2015-10-27,19.27,6125.1455,2806515.0
2015-10-28,19.1,6071.1094,3181957.0
2015-10-29,18.89,6004.359,4103571.0
2015-10-30,19.16,6090.1809,2835459.0
2015-11-02,19.18,6096.5381,3131709.0
2015-11-03,19.12,6092.9952,2628645.0
2015-11-04,19.36,6169.4763,3315677.0
2015-11-05,19.56,6233.2105,3686750.0
2015-11-06,18.96,6042.0078,4611473.0
2015-11-09,18.92,6029.2609,2636907.0
2015-11-10,19.25,6134.4224,3071853.0
2015-11-11,19.42,6188.5966,2366915.0
2015-11-12,19.14,6099.3686,1754710.0
2015-11-13,19.08,6080.2483,1670982.0
2015-11-16,19.32,6156.7294,2094266.0
2015-11-17,19.18,6112.1154,1674168.0
2015-11-18,19.58,6239.584,3404352.0
2015-11-19,19.71,6281.0112,1448189.0
2015-11-20,19.83,6319.2518,2878250.0
2015-11-23,19.75,6293.7581,2326630.0
2015-11-24,19.52,6220.4637,2330661.0
2015-11-25,19.14,6099.3686,3030983.0
2015-11-27,19.22,6124.8623,866093.0
2015-11-30,19.19,6115.3022,4042060.0
2015-12-01,19.39,6179.0364,2023784.0
2015-12-02,19.29,6147.1693,3364425.0
2015-12-03,18.93,6032.4476,2083080.0
2015-12-04,19.1,6086.6217,3416837.0
2015-12-07,19.14,6099.3686,4429207.0
2015-12-08,19.25,6134.4224,2757541.0
2015-12-09,19.26,6137.6091,2863311.0
2015-12-10,19.04,6067.5015,3151142.0
2015-12-11,18.66,5946.4064,2169694.0
2015-12-14,18.84,6003.7672,2007781.0
2015-12-15,18.71,5962.3399,2758778.0
2015-12-16,19.31,6153.5427,2892256.0
2015-12-17,19.28,6143.9826,1638912.0
2015-12-18,18.96,6042.0078,3577971.0
2015-12-21,18.89,6019.7008,2753868.0
2015-12-22,19.11,6089.8085,1741913.0
2015-12-23,19.33,6159.9161,2683108.0
2015-12-24,19.31,6153.5427,815438.0
2015-12-28,19.47,6204.5301,1355270.0
2015-12-29,19.8,6309.6916,1580810.0
2015-12-30,19.82,6316.0651,1780545.0
2015-12-31,19.51,6217.277,2559160.0
2016-01-04,19.52,6220.4637,2592684.0
2016-01-05,19.83,6319.2518,3138782.0
2016-01-06,19.94,6354.3056,3525657.0
2016-01-07,19.5,6214.0903,3047565.0
2016-01-08,19.47,6204.5301,2933911.0
2016-01-11,19.79,6306.5049,2156595.0
2016-01-12,19.54,6226.8371,2405275.0
2016-01-13,19.47,6204.5301,2140143.0
2016-01-14,20.0,6373.4259,2402761.0
2016-01-15,19.74,6290.5714,1995345.0
2016-01-19,20.04,6386.1728,2419804.0
2016-01-20,19.46,6201.3434,3218072.0
2016-01-21,19.53,6223.6504,2703582.0
2016-01-22,20.28,6462.6539,2744644.0
2016-01-25,20.38,6494.521,3481783.0
2016-01-26,20.31,6472.214,2447559.0
2016-01-27,20.14,6418.0399,3681927.0
2016-01-28,20.75,6612.4294,3868182.0
2016-01-29,21.01,6695.2839,4958273.0
2016-02-01,21.3,6787.6986,4254808.0
2016-02-02,21.26,6774.9517,5417258.0
2016-02-03,21.48,6845.0594,4137968.0
2016-02-04,21.16,6743.0846,3624007.0
2016-02-05,20.98,6685.7238,3763549.0
2016-02-08,20.91,6663.4168,1950299.0
2016-02-09,21.24,6768.5783,2964705.0
2016-02-10,21.48,6845.0594,4691614.0
2016-02-11,21.1,6723.9643,4161717.0
2016-02-12,21.28,6781.3252,3222812.0
