,AMD US Equity,AMD US Equity,AMD US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-04-19,10.11,9797.9219,57841640.0
2018-04-20,9.99,9681.6261,39011902.0
2018-04-23,10.04,9730.0826,42971272.0
2018-04-24,10.09,9778.5392,44992223.0
2018-04-25,9.71,9410.2692,90577981.0
2018-04-26,11.04,10699.2144,145284090.0
2018-04-27,11.11,10767.0536,74347782.0
2018-04-30,10.88,10544.1533,50608764.0
2018-05-01,11.13,10786.4362,43441602.0
2018-05-02,10.97,10631.3752,29267302.0
2018-05-03,10.93,10594.9298,33310596.0
2018-05-04,11.28,10934.2002,47884940.0
2018-05-07,11.59,11234.6968,54001692.0
2018-05-08,11.61,11254.0837,35218414.0
2018-05-09,11.95,11583.6607,49605743.0
2018-05-10,12.13,11758.1426,49744484.0
2018-05-11,11.95,11583.6607,43863746.0
2018-05-14,12.23,11855.077,50263792.0
2018-05-15,12.45,12068.3327,44183179.0
2018-05-16,12.82,12426.9899,73363996.0
2018-05-17,12.82,12426.9899,38692510.0
2018-05-18,13.0,12601.4718,54063411.0
2018-05-21,12.99,12591.7784,49714221.0
2018-05-22,12.98,12582.085,43267033.0
2018-05-23,13.1,12698.4062,44517762.0
2018-05-24,13.41,12998.9029,47785726.0
2018-05-25,13.54,13124.9176,43850067.0
2018-05-29,13.36,12950.4357,39578498.0
2018-05-30,13.82,13396.3339,58186435.0
2018-05-31,13.73,13309.093,46797677.0
2018-06-01,14.4,13958.5534,71677869.0
2018-06-04,14.85,14394.7582,74545986.0
2018-06-05,14.85,14394.7582,56122654.0
2018-06-06,15.67,15189.6203,97089040.0
2018-06-07,14.89,14433.532,99860297.0
2018-06-08,15.25,14782.4958,81930486.0
2018-06-11,15.73,15247.7809,80737640.0
2018-06-12,15.85,15364.1022,67002592.0
2018-06-13,16.32,15819.6939,90227322.0
2018-06-14,16.25,15751.8398,113048551.0
2018-06-15,16.34,15839.0808,77612174.0
2018-06-18,17.11,16585.4756,104317396.0
2018-06-19,16.69,16178.3512,92542859.0
2018-06-20,16.52,16013.5627,76280646.0
2018-06-21,15.65,15170.2334,95638369.0
2018-06-22,15.8,15315.635,59257099.0
2018-06-25,15.11,14646.7877,94418420.0
2018-06-26,15.5,15024.8318,54213466.0
2018-06-27,14.97,14511.0795,56014335.0
2018-06-28,15.31,14840.6565,48716794.0
2018-06-29,14.99,14530.4664,41527791.0
2018-07-02,15.16,14695.2549,43398768.0
2018-07-03,15.0,14540.1598,32094031.0
2018-07-05,15.5,15024.8318,40703271.0
2018-07-06,16.36,15858.4676,65101672.0
2018-07-09,16.61,16100.8036,58525542.0
2018-07-10,16.55,16042.643,37092975.0
2018-07-11,16.27,15771.2267,42544103.0
2018-07-12,16.56,16052.3364,44188137.0
2018-07-13,16.27,15771.2267,40698475.0
2018-07-16,16.58,16071.7233,65275291.0
2018-07-17,16.87,16352.8331,42313518.0
2018-07-18,16.85,16333.4462,40881493.0
2018-07-19,16.71,16197.738,41267829.0
2018-07-20,16.5,15994.1758,42906009.0
2018-07-23,16.66,16149.2708,44940819.0
2018-07-24,16.19,15693.6792,58201458.0
2018-07-25,16.05,15557.971,83639684.0
2018-07-26,18.35,17787.4622,192661124.0
2018-07-27,18.94,18359.3751,161903789.0
2018-07-30,19.42,18824.6602,160823407.0
2018-07-31,18.33,17768.0753,118403405.0
2018-08-01,18.48,17913.4769,75495240.0
2018-08-02,18.79,18317.8449,52867121.0
2018-08-03,18.49,18025.3833,53232065.0
2018-08-06,19.43,18941.763,83579668.0
2018-08-07,19.56,19068.4963,72822590.0
2018-08-08,19.58,19087.9938,52081364.0
2018-08-09,19.1,18620.0552,46653358.0
2018-08-10,19.06,18581.0603,65821056.0
2018-08-13,19.73,19234.2246,81411331.0
2018-08-14,20.02,19516.9374,89195509.0
2018-08-15,19.7,19204.9784,86355654.0
2018-08-16,19.33,18844.2758,69733708.0
2018-08-17,19.77,19273.2194,60616638.0
2018-08-20,19.98,19477.9426,62983236.0
2018-08-21,20.4,19887.3888,55628983.0
2018-08-22,20.9,20374.8248,62002721.0
2018-08-23,22.29,21729.8969,113444117.0
2018-08-24,23.98,23377.4306,164328182.0
2018-08-27,25.26,24625.2667,325058416.0
2018-08-28,25.05,24420.5436,215771220.0
2018-08-29,25.2,24566.7744,143223187.0
2018-08-30,24.89,24264.5641,103607291.0
2018-08-31,25.17,24537.5282,65206352.0
2018-09-04,28.06,27354.9083,192541253.0
2018-09-05,28.51,27793.6007,257349007.0
2018-09-06,27.84,27140.4365,143942935.0
2018-09-07,27.38,26691.9954,123348744.0
2018-09-10,29.89,29138.9241,162253798.0
2018-09-11,30.1,29343.6472,159902483.0
2018-09-12,32.21,31400.6271,197889598.0
2018-09-13,30.48,29714.0986,304147108.0
2018-09-14,32.72,31897.8118,217762820.0
2018-09-17,32.43,31615.1122,180410560.0
2018-09-18,31.93,31127.676,176673169.0
2018-09-19,31.21,30425.7679,124287022.0
2018-09-20,31.18,30396.5217,123116549.0
2018-09-21,31.02,30240.5421,129792949.0
2018-09-24,32.61,31790.5893,118332614.0
2018-09-25,32.57,31751.5944,118570163.0
2018-09-26,32.19,31381.1428,79347320.0
2018-09-27,32.59,31771.0918,87934428.0
2018-09-28,30.89,30113.8087,165453485.0
2018-10-01,31.42,30630.4911,94742859.0
2018-10-02,29.02,28290.7973,145276455.0
2018-10-03,28.43,27715.6226,190137198.0
2018-10-04,27.78,27081.9555,95831156.0
2018-10-05,27.35,26662.7604,88008487.0
2018-10-08,26.46,25795.1239,103789499.0
2018-10-09,27.24,26555.5244,105461756.0
2018-10-10,25.0,24371.8102,147682923.0
2018-10-11,25.3,24664.2719,147013774.0
2018-10-12,26.34,25678.1393,111059406.0
2018-10-15,26.26,25600.1495,70523486.0
2018-10-16,28.18,27471.9045,92528973.0
2018-10-17,27.3,26614.0168,89466946.0
2018-10-18,26.62,25951.1035,79623723.0
2018-10-19,23.66,23065.4812,130799866.0
2018-10-22,25.03,24401.0564,114158919.0
2018-10-23,25.09,24459.5487,101763018.0
2018-10-24,22.79,22217.3422,134489106.0
2018-10-25,19.27,18785.7913,189173672.0
2018-10-26,17.63,17187.0006,119688961.0
2018-10-29,16.85,16426.6001,94479590.0
2018-10-30,17.2,16767.8054,99049408.0
2018-10-31,18.21,18199.2054,110463663.0
2018-11-01,20.22,20208.0139,136896463.0
2018-11-02,20.23,20218.008,123787953.0
2018-11-05,19.9,19888.2036,108016703.0
2018-11-06,20.68,20667.7412,144995728.0
2018-11-07,21.84,21827.0536,121115776.0
2018-11-08,21.2,21187.433,92387565.0
2018-11-09,21.03,21017.5338,85900699.0
2018-11-12,19.03,19018.7193,95948176.0
2018-11-13,19.61,19598.3755,76125994.0
2018-11-14,20.81,20797.6642,106344252.0
2018-11-15,21.49,21477.2611,97715488.0
2018-11-16,20.66,20647.7531,112376589.0
2018-11-19,19.11,19098.6719,93578236.0
2018-11-20,19.21,19198.6126,109869425.0
2018-11-21,18.73,18718.8972,81585649.0
2018-11-23,19.38,19368.5118,54611295.0
2018-11-26,20.08,20068.0969,83210988.0
2018-11-27,21.05,21037.5219,119230147.0
2018-11-28,21.34,21327.35,134425292.0
2018-11-29,21.43,21417.2966,79853746.0
2018-11-30,21.3,21287.3737,82370737.0
2018-12-03,23.71,23695.9451,139605406.0
2018-12-04,21.12,21107.4804,127392924.0
2018-12-06,21.3,21287.3737,103434674.0
2018-12-07,19.46,19448.4644,105764534.0
2018-12-10,19.99,19978.1502,77984520.0
2018-12-11,19.98,19968.1562,88027392.0
2018-12-12,20.48,20467.8598,100340657.0
2018-12-13,19.86,19848.2273,88108070.0
2018-12-14,19.9,19888.2036,84713551.0
2018-12-17,18.83,18818.8379,115437927.0
2018-12-18,19.5,19488.4407,101512938.0
2018-12-19,18.16,18149.235,120644490.0
2018-12-20,17.94,17929.3655,119394487.0
2018-12-21,16.93,16919.9642,132245996.0
2018-12-24,16.65,16640.1301,62933126.0
2018-12-26,17.9,17889.3892,108811809.0
2018-12-27,17.49,17479.6322,111373008.0
2018-12-28,17.82,17809.4366,109214352.0
2018-12-31,18.46,18449.0572,84732181.0
2019-01-02,18.83,18818.8379,87148693.0
2019-01-03,17.05,17039.893,117277563.0
2019-01-04,19.0,18988.7371,111878582.0
2019-01-07,20.57,20557.8064,107157014.0
2019-01-08,20.75,20737.6997,121270986.0
2019-01-09,20.19,20178.0317,163944073.0
2019-01-10,19.74,19728.2984,115629372.0
2019-01-11,20.27,20257.9843,85110766.0
2019-01-14,20.23,20218.008,71350248.0
2019-01-15,20.38,20367.9191,62785800.0
2019-01-16,19.73,19718.3044,70849266.0
2019-01-17,20.25,20237.9961,85018421.0
2019-01-18,20.77,20757.6879,88130950.0
2019-01-22,19.76,19748.2866,78513667.0
2019-01-23,19.8,19788.2629,77811255.0
2019-01-24,20.85,20837.6405,97433423.0
2019-01-25,21.93,21917.0002,110555157.0
2019-01-28,20.18,20168.0376,135164064.0
2019-01-29,19.25,19238.5889,131202535.0
2019-01-30,23.09,23076.3126,211421150.0
2019-01-31,24.41,24395.5301,182575629.0
2019-02-01,24.51,24495.4709,105356175.0
2019-02-04,24.13,24115.6961,70843958.0
2019-02-05,23.31,23296.1822,122226034.0
2019-02-06,23.26,23246.2118,78684325.0
2019-02-07,22.67,22656.5616,86723886.0
2019-02-08,23.05,23172.1392,78129280.0
2019-02-11,22.96,23081.6623,60578705.0
2019-02-12,22.82,22940.9205,67595405.0
2019-02-13,22.85,22971.0795,57544167.0
2019-02-14,23.13,23252.5631,64441243.0
2019-02-15,23.68,23805.4775,78644109.0
2019-02-19,23.95,24076.9082,57517907.0
2019-02-20,23.95,24076.9082,57091617.0
2019-02-21,23.92,24046.7493,49608176.0
2019-02-22,24.36,24489.0808,52650728.0
2019-02-25,24.71,24840.9354,63221028.0
2019-02-26,24.21,24338.2859,48470089.0
2019-02-27,23.48,23604.4177,62649329.0
2019-02-28,23.53,23654.6827,39384901.0
2019-03-01,23.68,23805.4775,48083975.0
2019-03-04,23.37,23493.8349,48147714.0
2019-03-05,23.5,23624.5237,35462587.0
2019-03-06,22.41,22528.7479,60479430.0
2019-03-07,22.08,22196.9993,52186289.0
2019-03-08,22.01,22126.6284,49967725.0
2019-03-11,22.96,23081.6623,54420188.0
2019-03-12,23.49,23614.4707,56410616.0
2019-03-13,23.38,23503.8879,56705777.0
2019-03-14,22.82,22940.9205,42818582.0
2019-03-15,23.29,23413.411,46519912.0
2019-03-18,23.25,23373.199,34731839.0
2019-03-19,26.0,26137.7709,156052222.0
2019-03-20,25.7,25836.1813,151292138.0
2019-03-21,27.89,30164.8122,129610272.0
2019-03-22,26.37,28520.8354,115323257.0
2019-03-25,25.97,28088.2099,78438159.0
2019-03-26,25.69,27785.372,75754079.0
2019-03-27,24.89,26920.1211,88585265.0
2019-03-28,25.06,27103.9869,64667453.0
2019-03-29,25.52,27601.5062,53502807.0
2019-04-01,26.36,28510.0197,63000322.0
2019-04-02,26.75,28931.8296,53358772.0
2019-04-03,29.02,31386.9792,197650478.0
2019-04-04,29.09,31462.6887,82191092.0
2019-04-05,28.98,31343.7167,65662738.0
2019-04-08,28.53,30857.013,58002493.0
2019-04-09,27.24,29461.7958,75539793.0
2019-04-10,27.83,30099.9184,64368144.0
2019-04-11,27.79,30056.6559,44801179.0
2019-04-12,27.85,30121.5497,41048838.0
2019-04-15,27.33,29559.1365,40812497.0
2019-04-16,27.93,30208.0748,47340055.0
2019-04-17,27.49,29732.1867,48240768.0
2019-04-18,27.68,29937.6839,39880890.0
2019-04-22,28.18,30478.4657,36477286.0
2019-04-23,27.97,30251.3373,41777470.0
2019-04-24,28.46,30781.3036,51784738.0
2019-04-25,27.66,29916.0526,57329711.0
2019-04-26,27.88,30153.9966,48827903.0
2019-04-29,27.69,29948.4995,44532725.0
2019-04-30,27.63,29883.6057,73165869.0
2019-05-01,26.81,28997.7154,136066941.0
2019-05-02,28.29,30598.4845,100514792.0
2019-05-03,28.22,30522.7724,55503062.0
2019-05-06,27.42,29657.4918,70344092.0
2019-05-07,26.66,28835.4753,75868821.0
2019-05-08,27.09,29300.5636,65967544.0
2019-05-09,27.21,29430.3557,73150883.0
2019-05-10,27.96,30241.5562,82930144.0
2019-05-13,26.24,28381.203,99017893.0
2019-05-14,27.32,29549.3318,82980397.0
2019-05-15,27.58,29830.5479,55689874.0
2019-05-16,28.01,30295.6363,67330064.0
2019-05-17,27.5,29744.0199,65385351.0
2019-05-20,26.68,28857.1073,69757402.0
2019-05-21,27.35,29581.7798,46079177.0
2019-05-22,27.41,29646.6758,40035288.0
2019-05-23,26.36,28510.9951,67809153.0
2019-05-24,26.44,28597.5231,39835788.0
2019-05-28,29.03,31398.869,146949629.0
2019-05-29,28.09,30382.1643,99969597.0
2019-05-30,28.03,30317.2683,65289093.0
2019-05-31,27.41,29646.6758,68667809.0
2019-06-03,27.58,29830.5479,147532180.0
2019-06-04,29.57,31982.9334,107549523.0
2019-06-05,29.5,31907.2213,79481540.0
2019-06-06,31.82,34416.535,131267796.0
2019-06-07,32.41,35054.6794,86841098.0
2019-06-10,33.23,35941.592,97668791.0
2019-06-11,32.41,35054.6794,82834914.0
2019-06-12,32.18,34805.9113,56298671.0
2019-06-13,31.39,33951.4467,63555986.0
2019-06-14,30.36,32837.398,70373015.0
2019-06-17,29.2,31582.7411,70865743.0
2019-06-18,30.45,32934.742,86444542.0
