,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2020-05-05,24.12,7006.0491,35651671.0
2020-05-06,22.91,6654.5848,43355299.0
2020-05-07,22.75,6608.1102,44179275.0
2020-05-08,25.42,7383.6554,55613248.0
2020-05-11,23.97,6962.4792,47485794.0
2020-05-12,22.76,6611.0148,40420913.0
2020-05-13,20.71,6015.5588,59007864.0
2020-05-14,20.3,5896.4675,74107763.0
2020-05-15,19.92,5786.0903,39807953.0
2020-05-18,24.13,7008.9538,72914839.0
2020-05-19,23.68,6878.2439,81387952.0
2020-05-20,24.91,7235.5176,56271963.0
2020-05-21,25.84,7505.6513,53737286.0
2020-05-22,25.4,7377.8461,45062054.0
2020-05-26,29.54,8580.3769,88220681.0
2020-05-27,30.69,8914.4132,89323153.0
2020-05-28,28.89,8391.5737,57401175.0
2020-05-29,28.04,8144.6773,64483619.0
2020-06-01,29.46,8557.1396,57585068.0
2020-06-02,29.91,8687.8495,47473423.0
2020-06-03,33.65,9774.1937,85543749.0
2020-06-04,39.1,11357.2355,142812822.0
2020-06-05,42.405,12483.6665,135585062.0
2020-06-08,48.69,14333.9163,89957309.0
2020-06-09,44.64,13141.6312,79612837.0
2020-06-10,39.72,11693.2257,105254914.0
2020-06-11,33.32,9809.1208,104768771.0
2020-06-12,39.66,11675.5622,98882648.0
2020-06-15,39.0,11327.4259,102434837.0
2020-06-16,40.21,11678.8666,71155208.0
2020-06-17,39.25,11400.0376,60125887.0
2020-06-18,39.34,11426.1779,64927112.0
2020-06-19,36.84,10700.0608,101013889.0
2020-06-22,36.54,10612.9268,65256605.0
2020-06-23,36.08,10479.3212,63531776.0
2020-06-24,33.07,9605.0763,65450849.0
2020-06-25,34.69,10075.6002,72479467.0
2020-06-26,32.89,9552.7959,58993341.0
2020-06-29,35.27,10244.0593,64905787.0
2020-06-30,34.61,10052.3644,54406449.0
2020-07-01,34.45,10005.8929,87861288.0
2020-07-02,34.14,9915.8544,53576626.0
2020-07-06,35.21,10226.6325,46540285.0
2020-07-07,32.55,9454.044,47337561.0
2020-07-08,32.53,9448.235,55863871.0
2020-07-09,30.17,8762.7805,53324015.0
2020-07-10,32.67,9488.8976,80475539.0
2020-07-13,31.76,9224.591,56572983.0
2020-07-14,31.74,9218.782,44172199.0
2020-07-15,36.37,10563.5508,84741889.0
2020-07-16,34.49,10017.5108,53333159.0
2020-07-17,33.92,9851.9561,37397502.0
2020-07-20,32.33,9390.1457,36534210.0
2020-07-21,33.07,9605.0763,45932073.0
2020-07-22,31.67,9198.4508,48195751.0
2020-07-23,33.23,9651.5478,82254207.0
2020-07-24,32.88,9549.8914,38446609.0
2020-07-27,32.42,9416.2859,33062563.0
2020-07-28,33.46,9718.3506,41625352.0
2020-07-29,32.57,9459.8529,31122766.0
2020-07-30,31.74,9218.782,31536796.0
2020-07-31,31.38,9114.2212,29612057.0
2020-08-03,31.87,9256.5401,35214418.0
2020-08-04,32.29,9378.5278,30010096.0
2020-08-05,33.73,9796.7712,49260749.0
