,WY US Equity,WY US Equity,WY US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2022-02-23,37.28,27823.2197,5515809.0
2022-02-24,38.23,28532.2341,5911143.0
2022-02-25,39.2,29256.1752,4572457.0
2022-02-28,38.88,29017.3493,6973463.0
2022-03-01,38.62,28823.3032,4277334.0
2022-03-02,39.49,29472.6112,4062338.0
2022-03-03,39.17,29233.7853,3412529.0
2022-03-04,39.3,29330.8083,3556940.0
2022-03-07,38.47,28711.3536,5827677.0
2022-03-08,38.52,28748.6701,5764071.0
2022-03-09,38.99,29099.4457,5246434.0
2022-03-10,40.1,29927.8731,9253886.0
2022-03-11,39.62,29569.6342,4381227.0
2022-03-14,38.77,28935.2529,4369947.0
2022-03-15,39.47,29457.6846,6602578.0
2022-03-16,39.27,29308.4184,5060363.0
2022-03-17,39.51,29487.5378,5132647.0
2022-03-18,39.99,29845.7767,8330130.0
2022-03-21,39.19,29248.7119,3455840.0
2022-03-22,38.2,28509.8442,5786505.0
2022-03-23,38.15,28472.5277,5788253.0
2022-03-24,38.07,28412.8212,4752700.0
2022-03-25,38.6,28808.3766,4203788.0
2022-03-28,38.54,28763.5967,2865245.0
2022-03-29,39.02,29121.8356,4868026.0
2022-03-30,38.54,28763.5967,3171832.0
2022-03-31,37.9,28314.1482,4621381.0
2022-04-01,38.02,28403.7972,4698785.0
2022-04-04,38.78,28971.5744,3722950.0
2022-04-05,37.85,28276.7945,2985137.0
2022-04-06,37.49,28007.8474,3246078.0
2022-04-07,37.9,28314.1482,3800796.0
2022-04-08,38.68,28896.8668,2716235.0
2022-04-11,39.02,29150.8724,3780052.0
2022-04-12,39.58,29569.2345,3150575.0
2022-04-13,40.06,29927.8305,3740592.0
2022-04-14,39.9,29808.2985,3334187.0
2022-04-18,39.82,29748.5325,3581362.0
2022-04-19,41.43,30951.3235,6888273.0
2022-04-20,42.13,31474.2761,4632653.0
2022-04-21,41.73,31175.4461,4517781.0
2022-04-22,41.52,31018.5603,3652692.0
2022-04-25,41.62,31093.2678,3581249.0
2022-04-26,40.87,30532.9614,3540948.0
2022-04-27,40.86,30525.4907,3395788.0
2022-04-28,41.9,31302.4488,3302275.0
2022-04-29,41.22,30794.4377,5118146.0
2022-05-02,40.05,29817.1449,5558915.0
2022-05-03,41.17,30650.9827,4632937.0
2022-05-04,42.22,31432.7056,4523603.0
2022-05-05,40.65,30263.8437,4239487.0
2022-05-06,40.14,29884.1497,3757707.0
2022-05-09,39.22,29199.2116,4097966.0
2022-05-10,38.72,28826.9626,4482766.0
2022-05-11,37.79,28134.5794,4575859.0
2022-05-12,38.22,28454.7136,4802654.0
